#COUNT_SHARED
id,GB_KY888034-A_SWINE_KANSAS_A01378019_2017-SEGMENT_8,GB_KY970169-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_8,GB_MF116362-A_SWINE_KANSAS_A01378027_2017-SEGMENT_8,GB_MF373220-A_SWINE_IOWA_A01672518_2017-SEGMENT_8,GB_MF373237-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_8,GB_MF373267-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_8,GB_MF373285-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_8,GB_MF373297-A_SWINE_IOWA_A01672342_2017-SEGMENT_8,GB_MF373303-A_SWINE_IOWA_A01672415_2017-SEGMENT_8,GB_MF373309-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_8,GB_MF522001-A_SWINE_IOWA_A01672824_2017-SEGMENT_8,GB_MF522013-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_8,GB_MF522037-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_8,GB_MF522043-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_8,GB_MF522055-A_SWINE_INDIANA_A01672825_2017-SEGMENT_8,GB_MF522067-A_SWINE_IOWA_A01932420_2017-SEGMENT_8,GB_MF522073-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_8,GB_MF664406-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_8,GB_MF716904-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_8,GB_MF716927-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_8,GB_MF801451-A_SWINE_OHIO_A01354304_2017-SEGMENT_8,GB_MF801457-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_8,GB_MF801501-A_SWINE_IOWA_A01667089_2017-SEGMENT_8,GB_MF801521-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_8,GB_MF801527-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_8,GB_MF801533-A_SWINE_OHIO_A02214229_2017-SEGMENT_8,GB_MF801541-A_SWINE_OHIO_A01354305_2017-SEGMENT_8,GB_MF801559-A_SWINE_IOWA_A01667091_2017-SEGMENT_8,GB_MF801579-A_SWINE_IOWA_A01667088_2017-SEGMENT_8,GB_MF801597-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_8,GB_MF973289-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_8,GB_MF973295-A_SWINE_IOWA_A02214835_2017-SEGMENT_8,GB_MF973319-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_8,GB_MF973349-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_8,GB_MF973355-A_SWINE_INDIANA_A02214845_2017-SEGMENT_8,GB_MF973361-A_SWINE_IOWA_A02214479_2017-SEGMENT_8,GB_MF973373-A_SWINE_TEXAS_A02214607_2017-SEGMENT_8,GB_MF973379-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_8,GB_MF973397-A_SWINE_OHIO_A02214848_2017-SEGMENT_8,GB_MG193780-A_SWINE_IOWA_A02215202_2017-SEGMENT_8,GB_MG193792-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_8,GB_MG193798-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_8,GB_MG193812-A_SWINE_IOWA_A02216046_2017-SEGMENT_8,GB_MG193850-A_SWINE_IOWA_A02216044_2017-SEGMENT_8,GB_MG193862-A_SWINE_IOWA_A02216456_2017-SEGMENT_8,GB_MG193874-A_SWINE_OHIO_A02215367_2017-SEGMENT_8,GB_MG193896-A_SWINE_IOWA_A02215041_2017-SEGMENT_8,GB_MG193908-A_SWINE_IOWA_A02215038_2017-SEGMENT_8,GB_MG521005-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_8,GB_MG521011-A_SWINE_IOWA_A02217313_2017-SEGMENT_8,GB_MG521029-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_8,GB_MG521035-A_SWINE_INDIANA_A02216644_2017-SEGMENT_8,GB_MG521047-A_SWINE_OHIO_A02216472_2017-SEGMENT_8,GB_MG521053-A_SWINE_IOWA_A02217282_2017-SEGMENT_8,GB_MG521113-A_SWINE_INDIANA_A02218180_2017-SEGMENT_8,GB_MG521121-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_8,GB_MG650647-A_SWINE_IOWA_A02218171_2017-SEGMENT_8,GB_MG662558-A_SWINE_IOWA_A02218755_2017-SEGMENT_8,GB_MG662576-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_8,GB_MG662606-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_8,GB_MG662644-A_SWINE_IOWA_A01104104_2017-SEGMENT_8,GB_MG662662-A_SWINE_IOWA_A02218750_2017-SEGMENT_8,GB_MG662682-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_8,GB_MG784567-A_SWINE_IOWA_A02221505_2017-SEGMENT_8,GB_MG784573-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_8,GB_MG784585-A_SWINE_IOWA_A02221508_2017-SEGMENT_8,GB_MG784597-A_SWINE_IOWA_A02221506_2017-SEGMENT_8,GB_MG784621-A_SWINE_OHIO_A02219547_2017-SEGMENT_8,GB_MG784633-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_8,GB_MG784651-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_8,GB_MG835458-A_SWINE_KANSAS_A01378037_2017-SEGMENT_8,GB_MG912585-A_SWINE_KANSAS_A01378038_2017-SEGMENT_8,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,
#RAW_SHARED
id,GB_KY888034-A_SWINE_KANSAS_A01378019_2017-SEGMENT_8,GB_KY970169-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_8,GB_MF116362-A_SWINE_KANSAS_A01378027_2017-SEGMENT_8,GB_MF373220-A_SWINE_IOWA_A01672518_2017-SEGMENT_8,GB_MF373237-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_8,GB_MF373267-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_8,GB_MF373285-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_8,GB_MF373297-A_SWINE_IOWA_A01672342_2017-SEGMENT_8,GB_MF373303-A_SWINE_IOWA_A01672415_2017-SEGMENT_8,GB_MF373309-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_8,GB_MF522001-A_SWINE_IOWA_A01672824_2017-SEGMENT_8,GB_MF522013-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_8,GB_MF522037-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_8,GB_MF522043-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_8,GB_MF522055-A_SWINE_INDIANA_A01672825_2017-SEGMENT_8,GB_MF522067-A_SWINE_IOWA_A01932420_2017-SEGMENT_8,GB_MF522073-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_8,GB_MF664406-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_8,GB_MF716904-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_8,GB_MF716927-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_8,GB_MF801451-A_SWINE_OHIO_A01354304_2017-SEGMENT_8,GB_MF801457-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_8,GB_MF801501-A_SWINE_IOWA_A01667089_2017-SEGMENT_8,GB_MF801521-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_8,GB_MF801527-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_8,GB_MF801533-A_SWINE_OHIO_A02214229_2017-SEGMENT_8,GB_MF801541-A_SWINE_OHIO_A01354305_2017-SEGMENT_8,GB_MF801559-A_SWINE_IOWA_A01667091_2017-SEGMENT_8,GB_MF801579-A_SWINE_IOWA_A01667088_2017-SEGMENT_8,GB_MF801597-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_8,GB_MF973289-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_8,GB_MF973295-A_SWINE_IOWA_A02214835_2017-SEGMENT_8,GB_MF973319-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_8,GB_MF973349-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_8,GB_MF973355-A_SWINE_INDIANA_A02214845_2017-SEGMENT_8,GB_MF973361-A_SWINE_IOWA_A02214479_2017-SEGMENT_8,GB_MF973373-A_SWINE_TEXAS_A02214607_2017-SEGMENT_8,GB_MF973379-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_8,GB_MF973397-A_SWINE_OHIO_A02214848_2017-SEGMENT_8,GB_MG193780-A_SWINE_IOWA_A02215202_2017-SEGMENT_8,GB_MG193792-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_8,GB_MG193798-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_8,GB_MG193812-A_SWINE_IOWA_A02216046_2017-SEGMENT_8,GB_MG193850-A_SWINE_IOWA_A02216044_2017-SEGMENT_8,GB_MG193862-A_SWINE_IOWA_A02216456_2017-SEGMENT_8,GB_MG193874-A_SWINE_OHIO_A02215367_2017-SEGMENT_8,GB_MG193896-A_SWINE_IOWA_A02215041_2017-SEGMENT_8,GB_MG193908-A_SWINE_IOWA_A02215038_2017-SEGMENT_8,GB_MG521005-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_8,GB_MG521011-A_SWINE_IOWA_A02217313_2017-SEGMENT_8,GB_MG521029-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_8,GB_MG521035-A_SWINE_INDIANA_A02216644_2017-SEGMENT_8,GB_MG521047-A_SWINE_OHIO_A02216472_2017-SEGMENT_8,GB_MG521053-A_SWINE_IOWA_A02217282_2017-SEGMENT_8,GB_MG521113-A_SWINE_INDIANA_A02218180_2017-SEGMENT_8,GB_MG521121-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_8,GB_MG650647-A_SWINE_IOWA_A02218171_2017-SEGMENT_8,GB_MG662558-A_SWINE_IOWA_A02218755_2017-SEGMENT_8,GB_MG662576-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_8,GB_MG662606-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_8,GB_MG662644-A_SWINE_IOWA_A01104104_2017-SEGMENT_8,GB_MG662662-A_SWINE_IOWA_A02218750_2017-SEGMENT_8,GB_MG662682-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_8,GB_MG784567-A_SWINE_IOWA_A02221505_2017-SEGMENT_8,GB_MG784573-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_8,GB_MG784585-A_SWINE_IOWA_A02221508_2017-SEGMENT_8,GB_MG784597-A_SWINE_IOWA_A02221506_2017-SEGMENT_8,GB_MG784621-A_SWINE_OHIO_A02219547_2017-SEGMENT_8,GB_MG784633-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_8,GB_MG784651-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_8,GB_MG835458-A_SWINE_KANSAS_A01378037_2017-SEGMENT_8,GB_MG912585-A_SWINE_KANSAS_A01378038_2017-SEGMENT_8,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.17162,
#NORM_SHARED
id,GB_KY888034-A_SWINE_KANSAS_A01378019_2017-SEGMENT_8,GB_KY970169-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_8,GB_MF116362-A_SWINE_KANSAS_A01378027_2017-SEGMENT_8,GB_MF373220-A_SWINE_IOWA_A01672518_2017-SEGMENT_8,GB_MF373237-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_8,GB_MF373267-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_8,GB_MF373285-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_8,GB_MF373297-A_SWINE_IOWA_A01672342_2017-SEGMENT_8,GB_MF373303-A_SWINE_IOWA_A01672415_2017-SEGMENT_8,GB_MF373309-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_8,GB_MF522001-A_SWINE_IOWA_A01672824_2017-SEGMENT_8,GB_MF522013-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_8,GB_MF522037-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_8,GB_MF522043-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_8,GB_MF522055-A_SWINE_INDIANA_A01672825_2017-SEGMENT_8,GB_MF522067-A_SWINE_IOWA_A01932420_2017-SEGMENT_8,GB_MF522073-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_8,GB_MF664406-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_8,GB_MF716904-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_8,GB_MF716927-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_8,GB_MF801451-A_SWINE_OHIO_A01354304_2017-SEGMENT_8,GB_MF801457-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_8,GB_MF801501-A_SWINE_IOWA_A01667089_2017-SEGMENT_8,GB_MF801521-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_8,GB_MF801527-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_8,GB_MF801533-A_SWINE_OHIO_A02214229_2017-SEGMENT_8,GB_MF801541-A_SWINE_OHIO_A01354305_2017-SEGMENT_8,GB_MF801559-A_SWINE_IOWA_A01667091_2017-SEGMENT_8,GB_MF801579-A_SWINE_IOWA_A01667088_2017-SEGMENT_8,GB_MF801597-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_8,GB_MF973289-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_8,GB_MF973295-A_SWINE_IOWA_A02214835_2017-SEGMENT_8,GB_MF973319-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_8,GB_MF973349-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_8,GB_MF973355-A_SWINE_INDIANA_A02214845_2017-SEGMENT_8,GB_MF973361-A_SWINE_IOWA_A02214479_2017-SEGMENT_8,GB_MF973373-A_SWINE_TEXAS_A02214607_2017-SEGMENT_8,GB_MF973379-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_8,GB_MF973397-A_SWINE_OHIO_A02214848_2017-SEGMENT_8,GB_MG193780-A_SWINE_IOWA_A02215202_2017-SEGMENT_8,GB_MG193792-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_8,GB_MG193798-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_8,GB_MG193812-A_SWINE_IOWA_A02216046_2017-SEGMENT_8,GB_MG193850-A_SWINE_IOWA_A02216044_2017-SEGMENT_8,GB_MG193862-A_SWINE_IOWA_A02216456_2017-SEGMENT_8,GB_MG193874-A_SWINE_OHIO_A02215367_2017-SEGMENT_8,GB_MG193896-A_SWINE_IOWA_A02215041_2017-SEGMENT_8,GB_MG193908-A_SWINE_IOWA_A02215038_2017-SEGMENT_8,GB_MG521005-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_8,GB_MG521011-A_SWINE_IOWA_A02217313_2017-SEGMENT_8,GB_MG521029-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_8,GB_MG521035-A_SWINE_INDIANA_A02216644_2017-SEGMENT_8,GB_MG521047-A_SWINE_OHIO_A02216472_2017-SEGMENT_8,GB_MG521053-A_SWINE_IOWA_A02217282_2017-SEGMENT_8,GB_MG521113-A_SWINE_INDIANA_A02218180_2017-SEGMENT_8,GB_MG521121-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_8,GB_MG650647-A_SWINE_IOWA_A02218171_2017-SEGMENT_8,GB_MG662558-A_SWINE_IOWA_A02218755_2017-SEGMENT_8,GB_MG662576-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_8,GB_MG662606-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_8,GB_MG662644-A_SWINE_IOWA_A01104104_2017-SEGMENT_8,GB_MG662662-A_SWINE_IOWA_A02218750_2017-SEGMENT_8,GB_MG662682-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_8,GB_MG784567-A_SWINE_IOWA_A02221505_2017-SEGMENT_8,GB_MG784573-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_8,GB_MG784585-A_SWINE_IOWA_A02221508_2017-SEGMENT_8,GB_MG784597-A_SWINE_IOWA_A02221506_2017-SEGMENT_8,GB_MG784621-A_SWINE_OHIO_A02219547_2017-SEGMENT_8,GB_MG784633-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_8,GB_MG784651-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_8,GB_MG835458-A_SWINE_KANSAS_A01378037_2017-SEGMENT_8,GB_MG912585-A_SWINE_KANSAS_A01378038_2017-SEGMENT_8,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0624,
#COUNT_VAX_UNQ
id,GB_KY888034-A_SWINE_KANSAS_A01378019_2017-SEGMENT_8,GB_KY970169-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_8,GB_MF116362-A_SWINE_KANSAS_A01378027_2017-SEGMENT_8,GB_MF373220-A_SWINE_IOWA_A01672518_2017-SEGMENT_8,GB_MF373237-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_8,GB_MF373267-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_8,GB_MF373285-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_8,GB_MF373297-A_SWINE_IOWA_A01672342_2017-SEGMENT_8,GB_MF373303-A_SWINE_IOWA_A01672415_2017-SEGMENT_8,GB_MF373309-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_8,GB_MF522001-A_SWINE_IOWA_A01672824_2017-SEGMENT_8,GB_MF522013-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_8,GB_MF522037-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_8,GB_MF522043-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_8,GB_MF522055-A_SWINE_INDIANA_A01672825_2017-SEGMENT_8,GB_MF522067-A_SWINE_IOWA_A01932420_2017-SEGMENT_8,GB_MF522073-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_8,GB_MF664406-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_8,GB_MF716904-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_8,GB_MF716927-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_8,GB_MF801451-A_SWINE_OHIO_A01354304_2017-SEGMENT_8,GB_MF801457-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_8,GB_MF801501-A_SWINE_IOWA_A01667089_2017-SEGMENT_8,GB_MF801521-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_8,GB_MF801527-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_8,GB_MF801533-A_SWINE_OHIO_A02214229_2017-SEGMENT_8,GB_MF801541-A_SWINE_OHIO_A01354305_2017-SEGMENT_8,GB_MF801559-A_SWINE_IOWA_A01667091_2017-SEGMENT_8,GB_MF801579-A_SWINE_IOWA_A01667088_2017-SEGMENT_8,GB_MF801597-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_8,GB_MF973289-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_8,GB_MF973295-A_SWINE_IOWA_A02214835_2017-SEGMENT_8,GB_MF973319-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_8,GB_MF973349-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_8,GB_MF973355-A_SWINE_INDIANA_A02214845_2017-SEGMENT_8,GB_MF973361-A_SWINE_IOWA_A02214479_2017-SEGMENT_8,GB_MF973373-A_SWINE_TEXAS_A02214607_2017-SEGMENT_8,GB_MF973379-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_8,GB_MF973397-A_SWINE_OHIO_A02214848_2017-SEGMENT_8,GB_MG193780-A_SWINE_IOWA_A02215202_2017-SEGMENT_8,GB_MG193792-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_8,GB_MG193798-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_8,GB_MG193812-A_SWINE_IOWA_A02216046_2017-SEGMENT_8,GB_MG193850-A_SWINE_IOWA_A02216044_2017-SEGMENT_8,GB_MG193862-A_SWINE_IOWA_A02216456_2017-SEGMENT_8,GB_MG193874-A_SWINE_OHIO_A02215367_2017-SEGMENT_8,GB_MG193896-A_SWINE_IOWA_A02215041_2017-SEGMENT_8,GB_MG193908-A_SWINE_IOWA_A02215038_2017-SEGMENT_8,GB_MG521005-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_8,GB_MG521011-A_SWINE_IOWA_A02217313_2017-SEGMENT_8,GB_MG521029-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_8,GB_MG521035-A_SWINE_INDIANA_A02216644_2017-SEGMENT_8,GB_MG521047-A_SWINE_OHIO_A02216472_2017-SEGMENT_8,GB_MG521053-A_SWINE_IOWA_A02217282_2017-SEGMENT_8,GB_MG521113-A_SWINE_INDIANA_A02218180_2017-SEGMENT_8,GB_MG521121-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_8,GB_MG650647-A_SWINE_IOWA_A02218171_2017-SEGMENT_8,GB_MG662558-A_SWINE_IOWA_A02218755_2017-SEGMENT_8,GB_MG662576-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_8,GB_MG662606-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_8,GB_MG662644-A_SWINE_IOWA_A01104104_2017-SEGMENT_8,GB_MG662662-A_SWINE_IOWA_A02218750_2017-SEGMENT_8,GB_MG662682-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_8,GB_MG784567-A_SWINE_IOWA_A02221505_2017-SEGMENT_8,GB_MG784573-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_8,GB_MG784585-A_SWINE_IOWA_A02221508_2017-SEGMENT_8,GB_MG784597-A_SWINE_IOWA_A02221506_2017-SEGMENT_8,GB_MG784621-A_SWINE_OHIO_A02219547_2017-SEGMENT_8,GB_MG784633-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_8,GB_MG784651-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_8,GB_MG835458-A_SWINE_KANSAS_A01378037_2017-SEGMENT_8,GB_MG912585-A_SWINE_KANSAS_A01378038_2017-SEGMENT_8,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,
