#COUNT_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888031-A_SWINE_KANSAS_A01378019_2017-SEGMENT_5,GB_KY970166-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_5,GB_MF116359-A_SWINE_KANSAS_A01378027_2017-SEGMENT_5,GB_MF373218-A_SWINE_IOWA_A01672518_2017-SEGMENT_5,GB_MF373235-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_5,GB_MF373265-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_5,GB_MF373283-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_5,GB_MF373295-A_SWINE_IOWA_A01672342_2017-SEGMENT_5,GB_MF373301-A_SWINE_IOWA_A01672415_2017-SEGMENT_5,GB_MF373307-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_5,GB_MF521999-A_SWINE_IOWA_A01672824_2017-SEGMENT_5,GB_MF522011-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_5,GB_MF522035-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_5,GB_MF522041-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_5,GB_MF522053-A_SWINE_INDIANA_A01672825_2017-SEGMENT_5,GB_MF522065-A_SWINE_IOWA_A01932420_2017-SEGMENT_5,GB_MF522071-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_5,GB_MF664404-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_5,GB_MF716917-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_5,GB_MF716946-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_5,GB_MF801448-A_SWINE_OHIO_A01354304_2017-SEGMENT_5,GB_MF801455-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_5,GB_MF801499-A_SWINE_IOWA_A01667089_2017-SEGMENT_5,GB_MF801519-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_5,GB_MF801525-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_5,GB_MF801531-A_SWINE_OHIO_A02214229_2017-SEGMENT_5,GB_MF801538-A_SWINE_OHIO_A01354305_2017-SEGMENT_5,GB_MF801557-A_SWINE_IOWA_A01667091_2017-SEGMENT_5,GB_MF801577-A_SWINE_IOWA_A01667088_2017-SEGMENT_5,GB_MF801595-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_5,GB_MF973287-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_5,GB_MF973293-A_SWINE_IOWA_A02214835_2017-SEGMENT_5,GB_MF973317-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_5,GB_MF973347-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_5,GB_MF973353-A_SWINE_INDIANA_A02214845_2017-SEGMENT_5,GB_MF973359-A_SWINE_IOWA_A02214479_2017-SEGMENT_5,GB_MF973371-A_SWINE_TEXAS_A02214607_2017-SEGMENT_5,GB_MF973377-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_5,GB_MF973395-A_SWINE_OHIO_A02214848_2017-SEGMENT_5,GB_MG193778-A_SWINE_IOWA_A02215202_2017-SEGMENT_5,GB_MG193790-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_5,GB_MG193796-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_5,GB_MG193810-A_SWINE_IOWA_A02216046_2017-SEGMENT_5,GB_MG193848-A_SWINE_IOWA_A02216044_2017-SEGMENT_5,GB_MG193860-A_SWINE_IOWA_A02216456_2017-SEGMENT_5,GB_MG193872-A_SWINE_OHIO_A02215367_2017-SEGMENT_5,GB_MG193894-A_SWINE_IOWA_A02215041_2017-SEGMENT_5,GB_MG193906-A_SWINE_IOWA_A02215038_2017-SEGMENT_5,GB_MG521003-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_5,GB_MG521009-A_SWINE_IOWA_A02217313_2017-SEGMENT_5,GB_MG521027-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_5,GB_MG521033-A_SWINE_INDIANA_A02216644_2017-SEGMENT_5,GB_MG521045-A_SWINE_OHIO_A02216472_2017-SEGMENT_5,GB_MG521051-A_SWINE_IOWA_A02217282_2017-SEGMENT_5,GB_MG521111-A_SWINE_INDIANA_A02218180_2017-SEGMENT_5,GB_MG521118-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_5,GB_MG650645-A_SWINE_IOWA_A02218171_2017-SEGMENT_5,GB_MG662556-A_SWINE_IOWA_A02218755_2017-SEGMENT_5,GB_MG662574-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_5,GB_MG662604-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_5,GB_MG662641-A_SWINE_IOWA_A01104104_2017-SEGMENT_5,GB_MG662660-A_SWINE_IOWA_A02218750_2017-SEGMENT_5,GB_MG662680-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_5,GB_MG784565-A_SWINE_IOWA_A02221505_2017-SEGMENT_5,GB_MG784571-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_5,GB_MG784583-A_SWINE_IOWA_A02221508_2017-SEGMENT_5,GB_MG784595-A_SWINE_IOWA_A02221506_2017-SEGMENT_5,GB_MG784619-A_SWINE_OHIO_A02219547_2017-SEGMENT_5,GB_MG784631-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_5,GB_MG784649-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_5,GB_MG835455-A_SWINE_KANSAS_A01378037_2017-SEGMENT_5,GB_MG912582-A_SWINE_KANSAS_A01378038_2017-SEGMENT_5,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,57,57,41,51,57,48,57,41,57,57,37,34,27,52,57,48,57,57,57,57,57,57,41,57,57,57,57,49,57,57,57,41,37,57,57,37,49,41,57,51,57,57,57,48,57,57,57,51,57,57,51,57,57,57,57,57,48,57,57,41,51,41,48,51,51,48,57,57,57,57,57,57,311
#RAW_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888031-A_SWINE_KANSAS_A01378019_2017-SEGMENT_5,GB_KY970166-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_5,GB_MF116359-A_SWINE_KANSAS_A01378027_2017-SEGMENT_5,GB_MF373218-A_SWINE_IOWA_A01672518_2017-SEGMENT_5,GB_MF373235-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_5,GB_MF373265-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_5,GB_MF373283-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_5,GB_MF373295-A_SWINE_IOWA_A01672342_2017-SEGMENT_5,GB_MF373301-A_SWINE_IOWA_A01672415_2017-SEGMENT_5,GB_MF373307-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_5,GB_MF521999-A_SWINE_IOWA_A01672824_2017-SEGMENT_5,GB_MF522011-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_5,GB_MF522035-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_5,GB_MF522041-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_5,GB_MF522053-A_SWINE_INDIANA_A01672825_2017-SEGMENT_5,GB_MF522065-A_SWINE_IOWA_A01932420_2017-SEGMENT_5,GB_MF522071-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_5,GB_MF664404-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_5,GB_MF716917-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_5,GB_MF716946-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_5,GB_MF801448-A_SWINE_OHIO_A01354304_2017-SEGMENT_5,GB_MF801455-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_5,GB_MF801499-A_SWINE_IOWA_A01667089_2017-SEGMENT_5,GB_MF801519-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_5,GB_MF801525-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_5,GB_MF801531-A_SWINE_OHIO_A02214229_2017-SEGMENT_5,GB_MF801538-A_SWINE_OHIO_A01354305_2017-SEGMENT_5,GB_MF801557-A_SWINE_IOWA_A01667091_2017-SEGMENT_5,GB_MF801577-A_SWINE_IOWA_A01667088_2017-SEGMENT_5,GB_MF801595-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_5,GB_MF973287-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_5,GB_MF973293-A_SWINE_IOWA_A02214835_2017-SEGMENT_5,GB_MF973317-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_5,GB_MF973347-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_5,GB_MF973353-A_SWINE_INDIANA_A02214845_2017-SEGMENT_5,GB_MF973359-A_SWINE_IOWA_A02214479_2017-SEGMENT_5,GB_MF973371-A_SWINE_TEXAS_A02214607_2017-SEGMENT_5,GB_MF973377-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_5,GB_MF973395-A_SWINE_OHIO_A02214848_2017-SEGMENT_5,GB_MG193778-A_SWINE_IOWA_A02215202_2017-SEGMENT_5,GB_MG193790-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_5,GB_MG193796-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_5,GB_MG193810-A_SWINE_IOWA_A02216046_2017-SEGMENT_5,GB_MG193848-A_SWINE_IOWA_A02216044_2017-SEGMENT_5,GB_MG193860-A_SWINE_IOWA_A02216456_2017-SEGMENT_5,GB_MG193872-A_SWINE_OHIO_A02215367_2017-SEGMENT_5,GB_MG193894-A_SWINE_IOWA_A02215041_2017-SEGMENT_5,GB_MG193906-A_SWINE_IOWA_A02215038_2017-SEGMENT_5,GB_MG521003-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_5,GB_MG521009-A_SWINE_IOWA_A02217313_2017-SEGMENT_5,GB_MG521027-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_5,GB_MG521033-A_SWINE_INDIANA_A02216644_2017-SEGMENT_5,GB_MG521045-A_SWINE_OHIO_A02216472_2017-SEGMENT_5,GB_MG521051-A_SWINE_IOWA_A02217282_2017-SEGMENT_5,GB_MG521111-A_SWINE_INDIANA_A02218180_2017-SEGMENT_5,GB_MG521118-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_5,GB_MG650645-A_SWINE_IOWA_A02218171_2017-SEGMENT_5,GB_MG662556-A_SWINE_IOWA_A02218755_2017-SEGMENT_5,GB_MG662574-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_5,GB_MG662604-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_5,GB_MG662641-A_SWINE_IOWA_A01104104_2017-SEGMENT_5,GB_MG662660-A_SWINE_IOWA_A02218750_2017-SEGMENT_5,GB_MG662680-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_5,GB_MG784565-A_SWINE_IOWA_A02221505_2017-SEGMENT_5,GB_MG784571-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_5,GB_MG784583-A_SWINE_IOWA_A02221508_2017-SEGMENT_5,GB_MG784595-A_SWINE_IOWA_A02221506_2017-SEGMENT_5,GB_MG784619-A_SWINE_OHIO_A02219547_2017-SEGMENT_5,GB_MG784631-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_5,GB_MG784649-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_5,GB_MG835455-A_SWINE_KANSAS_A01378037_2017-SEGMENT_5,GB_MG912582-A_SWINE_KANSAS_A01378038_2017-SEGMENT_5,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,54.60915,54.60915,39.16224,48.88775,54.60915,45.85551,54.60915,39.16224,54.60915,54.60915,35.42737,32.53482,25.70185,49.80613,54.60915,45.85551,54.60915,54.60915,54.60915,54.60915,54.60915,54.60915,39.16224,54.60915,54.60915,54.60915,54.60915,46.83889,54.60915,54.60915,54.60915,39.16224,35.42737,54.60915,54.60915,35.42737,46.83889,39.16224,54.60915,48.88775,54.65559,54.60915,54.60915,45.85551,54.60915,54.60915,54.60915,48.88775,54.60915,54.60915,48.88775,54.60915,54.60915,54.60915,54.60915,54.60915,45.85551,54.60915,54.60915,39.16224,48.88775,39.16224,45.85551,48.88775,48.88775,45.85551,54.60915,54.60915,54.60915,54.60915,54.60915,54.60915,297.62496
#NORM_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888031-A_SWINE_KANSAS_A01378019_2017-SEGMENT_5,GB_KY970166-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_5,GB_MF116359-A_SWINE_KANSAS_A01378027_2017-SEGMENT_5,GB_MF373218-A_SWINE_IOWA_A01672518_2017-SEGMENT_5,GB_MF373235-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_5,GB_MF373265-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_5,GB_MF373283-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_5,GB_MF373295-A_SWINE_IOWA_A01672342_2017-SEGMENT_5,GB_MF373301-A_SWINE_IOWA_A01672415_2017-SEGMENT_5,GB_MF373307-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_5,GB_MF521999-A_SWINE_IOWA_A01672824_2017-SEGMENT_5,GB_MF522011-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_5,GB_MF522035-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_5,GB_MF522041-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_5,GB_MF522053-A_SWINE_INDIANA_A01672825_2017-SEGMENT_5,GB_MF522065-A_SWINE_IOWA_A01932420_2017-SEGMENT_5,GB_MF522071-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_5,GB_MF664404-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_5,GB_MF716917-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_5,GB_MF716946-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_5,GB_MF801448-A_SWINE_OHIO_A01354304_2017-SEGMENT_5,GB_MF801455-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_5,GB_MF801499-A_SWINE_IOWA_A01667089_2017-SEGMENT_5,GB_MF801519-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_5,GB_MF801525-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_5,GB_MF801531-A_SWINE_OHIO_A02214229_2017-SEGMENT_5,GB_MF801538-A_SWINE_OHIO_A01354305_2017-SEGMENT_5,GB_MF801557-A_SWINE_IOWA_A01667091_2017-SEGMENT_5,GB_MF801577-A_SWINE_IOWA_A01667088_2017-SEGMENT_5,GB_MF801595-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_5,GB_MF973287-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_5,GB_MF973293-A_SWINE_IOWA_A02214835_2017-SEGMENT_5,GB_MF973317-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_5,GB_MF973347-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_5,GB_MF973353-A_SWINE_INDIANA_A02214845_2017-SEGMENT_5,GB_MF973359-A_SWINE_IOWA_A02214479_2017-SEGMENT_5,GB_MF973371-A_SWINE_TEXAS_A02214607_2017-SEGMENT_5,GB_MF973377-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_5,GB_MF973395-A_SWINE_OHIO_A02214848_2017-SEGMENT_5,GB_MG193778-A_SWINE_IOWA_A02215202_2017-SEGMENT_5,GB_MG193790-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_5,GB_MG193796-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_5,GB_MG193810-A_SWINE_IOWA_A02216046_2017-SEGMENT_5,GB_MG193848-A_SWINE_IOWA_A02216044_2017-SEGMENT_5,GB_MG193860-A_SWINE_IOWA_A02216456_2017-SEGMENT_5,GB_MG193872-A_SWINE_OHIO_A02215367_2017-SEGMENT_5,GB_MG193894-A_SWINE_IOWA_A02215041_2017-SEGMENT_5,GB_MG193906-A_SWINE_IOWA_A02215038_2017-SEGMENT_5,GB_MG521003-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_5,GB_MG521009-A_SWINE_IOWA_A02217313_2017-SEGMENT_5,GB_MG521027-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_5,GB_MG521033-A_SWINE_INDIANA_A02216644_2017-SEGMENT_5,GB_MG521045-A_SWINE_OHIO_A02216472_2017-SEGMENT_5,GB_MG521051-A_SWINE_IOWA_A02217282_2017-SEGMENT_5,GB_MG521111-A_SWINE_INDIANA_A02218180_2017-SEGMENT_5,GB_MG521118-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_5,GB_MG650645-A_SWINE_IOWA_A02218171_2017-SEGMENT_5,GB_MG662556-A_SWINE_IOWA_A02218755_2017-SEGMENT_5,GB_MG662574-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_5,GB_MG662604-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_5,GB_MG662641-A_SWINE_IOWA_A01104104_2017-SEGMENT_5,GB_MG662660-A_SWINE_IOWA_A02218750_2017-SEGMENT_5,GB_MG662680-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_5,GB_MG784565-A_SWINE_IOWA_A02221505_2017-SEGMENT_5,GB_MG784571-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_5,GB_MG784583-A_SWINE_IOWA_A02221508_2017-SEGMENT_5,GB_MG784595-A_SWINE_IOWA_A02221506_2017-SEGMENT_5,GB_MG784619-A_SWINE_OHIO_A02219547_2017-SEGMENT_5,GB_MG784631-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_5,GB_MG784649-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_5,GB_MG835455-A_SWINE_KANSAS_A01378037_2017-SEGMENT_5,GB_MG912582-A_SWINE_KANSAS_A01378038_2017-SEGMENT_5,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,0.01645,0.01645,0.0118,0.01473,0.01645,0.01381,0.01645,0.0118,0.01645,0.01645,0.01067,0.0098,0.00774,0.015,0.01645,0.01381,0.01645,0.01645,0.01645,0.01645,0.01645,0.01645,0.0118,0.01645,0.01645,0.01645,0.01645,0.01411,0.01645,0.01645,0.01645,0.0118,0.01067,0.01645,0.01645,0.01067,0.01411,0.0118,0.01645,0.01473,0.01646,0.01645,0.01645,0.01381,0.01645,0.01645,0.01645,0.01473,0.01645,0.01645,0.01473,0.01645,0.01645,0.01645,0.01645,0.01645,0.01381,0.01645,0.01645,0.0118,0.01473,0.0118,0.01381,0.01473,0.01473,0.01381,0.01645,0.01645,0.01645,0.01645,0.01645,0.01645,0.08965
#COUNT_VAX_UNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888031-A_SWINE_KANSAS_A01378019_2017-SEGMENT_5,GB_KY970166-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_5,GB_MF116359-A_SWINE_KANSAS_A01378027_2017-SEGMENT_5,GB_MF373218-A_SWINE_IOWA_A01672518_2017-SEGMENT_5,GB_MF373235-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_5,GB_MF373265-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_5,GB_MF373283-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_5,GB_MF373295-A_SWINE_IOWA_A01672342_2017-SEGMENT_5,GB_MF373301-A_SWINE_IOWA_A01672415_2017-SEGMENT_5,GB_MF373307-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_5,GB_MF521999-A_SWINE_IOWA_A01672824_2017-SEGMENT_5,GB_MF522011-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_5,GB_MF522035-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_5,GB_MF522041-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_5,GB_MF522053-A_SWINE_INDIANA_A01672825_2017-SEGMENT_5,GB_MF522065-A_SWINE_IOWA_A01932420_2017-SEGMENT_5,GB_MF522071-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_5,GB_MF664404-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_5,GB_MF716917-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_5,GB_MF716946-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_5,GB_MF801448-A_SWINE_OHIO_A01354304_2017-SEGMENT_5,GB_MF801455-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_5,GB_MF801499-A_SWINE_IOWA_A01667089_2017-SEGMENT_5,GB_MF801519-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_5,GB_MF801525-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_5,GB_MF801531-A_SWINE_OHIO_A02214229_2017-SEGMENT_5,GB_MF801538-A_SWINE_OHIO_A01354305_2017-SEGMENT_5,GB_MF801557-A_SWINE_IOWA_A01667091_2017-SEGMENT_5,GB_MF801577-A_SWINE_IOWA_A01667088_2017-SEGMENT_5,GB_MF801595-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_5,GB_MF973287-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_5,GB_MF973293-A_SWINE_IOWA_A02214835_2017-SEGMENT_5,GB_MF973317-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_5,GB_MF973347-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_5,GB_MF973353-A_SWINE_INDIANA_A02214845_2017-SEGMENT_5,GB_MF973359-A_SWINE_IOWA_A02214479_2017-SEGMENT_5,GB_MF973371-A_SWINE_TEXAS_A02214607_2017-SEGMENT_5,GB_MF973377-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_5,GB_MF973395-A_SWINE_OHIO_A02214848_2017-SEGMENT_5,GB_MG193778-A_SWINE_IOWA_A02215202_2017-SEGMENT_5,GB_MG193790-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_5,GB_MG193796-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_5,GB_MG193810-A_SWINE_IOWA_A02216046_2017-SEGMENT_5,GB_MG193848-A_SWINE_IOWA_A02216044_2017-SEGMENT_5,GB_MG193860-A_SWINE_IOWA_A02216456_2017-SEGMENT_5,GB_MG193872-A_SWINE_OHIO_A02215367_2017-SEGMENT_5,GB_MG193894-A_SWINE_IOWA_A02215041_2017-SEGMENT_5,GB_MG193906-A_SWINE_IOWA_A02215038_2017-SEGMENT_5,GB_MG521003-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_5,GB_MG521009-A_SWINE_IOWA_A02217313_2017-SEGMENT_5,GB_MG521027-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_5,GB_MG521033-A_SWINE_INDIANA_A02216644_2017-SEGMENT_5,GB_MG521045-A_SWINE_OHIO_A02216472_2017-SEGMENT_5,GB_MG521051-A_SWINE_IOWA_A02217282_2017-SEGMENT_5,GB_MG521111-A_SWINE_INDIANA_A02218180_2017-SEGMENT_5,GB_MG521118-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_5,GB_MG650645-A_SWINE_IOWA_A02218171_2017-SEGMENT_5,GB_MG662556-A_SWINE_IOWA_A02218755_2017-SEGMENT_5,GB_MG662574-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_5,GB_MG662604-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_5,GB_MG662641-A_SWINE_IOWA_A01104104_2017-SEGMENT_5,GB_MG662660-A_SWINE_IOWA_A02218750_2017-SEGMENT_5,GB_MG662680-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_5,GB_MG784565-A_SWINE_IOWA_A02221505_2017-SEGMENT_5,GB_MG784571-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_5,GB_MG784583-A_SWINE_IOWA_A02221508_2017-SEGMENT_5,GB_MG784595-A_SWINE_IOWA_A02221506_2017-SEGMENT_5,GB_MG784619-A_SWINE_OHIO_A02219547_2017-SEGMENT_5,GB_MG784631-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_5,GB_MG784649-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_5,GB_MG835455-A_SWINE_KANSAS_A01378037_2017-SEGMENT_5,GB_MG912582-A_SWINE_KANSAS_A01378038_2017-SEGMENT_5,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII
