#COUNT_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY522877-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_4,GB_KY575157-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_4,GB_KY575163-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_4,GB_KY593235-A_SWINE_IOWA_A01672415_2017-SEGMENT_4,GB_KY593239-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_4,GB_KY653728-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_4,GB_KY653730-A_SWINE_IOWA_A01672518_2017-SEGMENT_4,GB_KY744604-A_SWINE_IOWA_A01672824_2017-SEGMENT_4,GB_KY744616-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_4,GB_KY744620-A_SWINE_INDIANA_A01672825_2017-SEGMENT_4,GB_KY766084-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_4,GB_KY802108-A_SWINE_IOWA_A01672342_2017-SEGMENT_4,GB_KY802128-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_4,GB_KY859939-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_4,GB_KY859954-A_SWINE_IOWA_A01932420_2017-SEGMENT_4,GB_KY888030-A_SWINE_KANSAS_A01378019_2017-SEGMENT_4,GB_KY941163-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_4,GB_KY941170-A_SWINE_IOWA_A01667091_2017-SEGMENT_4,GB_KY941174-A_SWINE_IOWA_A01667088_2017-SEGMENT_4,GB_KY970165-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_4,GB_KY995613-A_SWINE_OHIO_A02214229_2017-SEGMENT_4,GB_KY995627-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_4,GB_MF000461-A_SWINE_IOWA_A02214479_2017-SEGMENT_4,GB_MF000465-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_4,GB_MF000473-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_4,GB_MF000483-A_SWINE_IOWA_A01667089_2017-SEGMENT_4,GB_MF092731-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_4,GB_MF092751-A_SWINE_TEXAS_A02214607_2017-SEGMENT_4,GB_MF116358-A_SWINE_KANSAS_A01378027_2017-SEGMENT_4,GB_MF144692-A_SWINE_IOWA_A02214835_2017-SEGMENT_4,GB_MF144718-A_SWINE_IOWA_A02215041_2017-SEGMENT_4,GB_MF144722-A_SWINE_IOWA_A02215038_2017-SEGMENT_4,GB_MF150348-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_4,GB_MF150352-A_SWINE_INDIANA_A02214845_2017-SEGMENT_4,GB_MF150368-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_4,GB_MF150370-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_4,GB_MF150386-A_SWINE_OHIO_A02214848_2017-SEGMENT_4,GB_MF159347-A_SWINE_IOWA_A02215202_2017-SEGMENT_4,GB_MF159354-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_4,GB_MF289432-A_SWINE_OHIO_A02215367_2017-SEGMENT_4,GB_MF348031-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_4,GB_MF348033-A_SWINE_IOWA_A02216046_2017-SEGMENT_4,GB_MF348040-A_SWINE_IOWA_A02216044_2017-SEGMENT_4,GB_MF455471-A_SWINE_INDIANA_A02216644_2017-SEGMENT_4,GB_MF455479-A_SWINE_OHIO_A02216472_2017-SEGMENT_4,GB_MF455481-A_SWINE_IOWA_A02216456_2017-SEGMENT_4,GB_MF455483-A_SWINE_IOWA_A02217282_2017-SEGMENT_4,GB_MF582498-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_4,GB_MF582502-A_SWINE_IOWA_A02217313_2017-SEGMENT_4,GB_MF582510-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_4,GB_MF582532-A_SWINE_IOWA_A02218171_2017-SEGMENT_4,GB_MF582536-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_4,GB_MF582538-A_SWINE_INDIANA_A02218180_2017-SEGMENT_4,GB_MF692779-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_4,GB_MF692781-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_4,GB_MF716937-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_4,GB_MF716945-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_4,GB_MF765791-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_4,GB_MF784409-A_SWINE_IOWA_A02218755_2017-SEGMENT_4,GB_MF784419-A_SWINE_IOWA_A02218750_2017-SEGMENT_4,GB_MF801447-A_SWINE_OHIO_A01354304_2017-SEGMENT_4,GB_MF801537-A_SWINE_OHIO_A01354305_2017-SEGMENT_4,GB_MF920400-A_SWINE_OHIO_A02219547_2017-SEGMENT_4,GB_MF962620-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_4,GB_MF996844-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_4,GB_MG198985-A_SWINE_IOWA_A02221506_2017-SEGMENT_4,GB_MG210351-A_SWINE_IOWA_A02221505_2017-SEGMENT_4,GB_MG210359-A_SWINE_IOWA_A02221508_2017-SEGMENT_4,GB_MG521117-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_4,GB_MG662640-A_SWINE_IOWA_A01104104_2017-SEGMENT_4,GB_MG835454-A_SWINE_KANSAS_A01378037_2017-SEGMENT_4,GB_MG912581-A_SWINE_KANSAS_A01378038_2017-SEGMENT_4,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,44,44,38,44,44,20,48,38,22,44,38,41,32,33,38,44,37,36,44,44,34,44,38,20,38,25,44,36,48,48,38,48,40,37,44,34,33,48,44,32,43,44,38,42,37,42,38,44,42,48,38,38,44,44,33,44,44,38,35,38,44,44,44,44,38,44,48,38,44,48,44,44,349
#RAW_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY522877-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_4,GB_KY575157-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_4,GB_KY575163-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_4,GB_KY593235-A_SWINE_IOWA_A01672415_2017-SEGMENT_4,GB_KY593239-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_4,GB_KY653728-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_4,GB_KY653730-A_SWINE_IOWA_A01672518_2017-SEGMENT_4,GB_KY744604-A_SWINE_IOWA_A01672824_2017-SEGMENT_4,GB_KY744616-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_4,GB_KY744620-A_SWINE_INDIANA_A01672825_2017-SEGMENT_4,GB_KY766084-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_4,GB_KY802108-A_SWINE_IOWA_A01672342_2017-SEGMENT_4,GB_KY802128-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_4,GB_KY859939-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_4,GB_KY859954-A_SWINE_IOWA_A01932420_2017-SEGMENT_4,GB_KY888030-A_SWINE_KANSAS_A01378019_2017-SEGMENT_4,GB_KY941163-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_4,GB_KY941170-A_SWINE_IOWA_A01667091_2017-SEGMENT_4,GB_KY941174-A_SWINE_IOWA_A01667088_2017-SEGMENT_4,GB_KY970165-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_4,GB_KY995613-A_SWINE_OHIO_A02214229_2017-SEGMENT_4,GB_KY995627-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_4,GB_MF000461-A_SWINE_IOWA_A02214479_2017-SEGMENT_4,GB_MF000465-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_4,GB_MF000473-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_4,GB_MF000483-A_SWINE_IOWA_A01667089_2017-SEGMENT_4,GB_MF092731-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_4,GB_MF092751-A_SWINE_TEXAS_A02214607_2017-SEGMENT_4,GB_MF116358-A_SWINE_KANSAS_A01378027_2017-SEGMENT_4,GB_MF144692-A_SWINE_IOWA_A02214835_2017-SEGMENT_4,GB_MF144718-A_SWINE_IOWA_A02215041_2017-SEGMENT_4,GB_MF144722-A_SWINE_IOWA_A02215038_2017-SEGMENT_4,GB_MF150348-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_4,GB_MF150352-A_SWINE_INDIANA_A02214845_2017-SEGMENT_4,GB_MF150368-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_4,GB_MF150370-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_4,GB_MF150386-A_SWINE_OHIO_A02214848_2017-SEGMENT_4,GB_MF159347-A_SWINE_IOWA_A02215202_2017-SEGMENT_4,GB_MF159354-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_4,GB_MF289432-A_SWINE_OHIO_A02215367_2017-SEGMENT_4,GB_MF348031-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_4,GB_MF348033-A_SWINE_IOWA_A02216046_2017-SEGMENT_4,GB_MF348040-A_SWINE_IOWA_A02216044_2017-SEGMENT_4,GB_MF455471-A_SWINE_INDIANA_A02216644_2017-SEGMENT_4,GB_MF455479-A_SWINE_OHIO_A02216472_2017-SEGMENT_4,GB_MF455481-A_SWINE_IOWA_A02216456_2017-SEGMENT_4,GB_MF455483-A_SWINE_IOWA_A02217282_2017-SEGMENT_4,GB_MF582498-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_4,GB_MF582502-A_SWINE_IOWA_A02217313_2017-SEGMENT_4,GB_MF582510-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_4,GB_MF582532-A_SWINE_IOWA_A02218171_2017-SEGMENT_4,GB_MF582536-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_4,GB_MF582538-A_SWINE_INDIANA_A02218180_2017-SEGMENT_4,GB_MF692779-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_4,GB_MF692781-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_4,GB_MF716937-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_4,GB_MF716945-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_4,GB_MF765791-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_4,GB_MF784409-A_SWINE_IOWA_A02218755_2017-SEGMENT_4,GB_MF784419-A_SWINE_IOWA_A02218750_2017-SEGMENT_4,GB_MF801447-A_SWINE_OHIO_A01354304_2017-SEGMENT_4,GB_MF801537-A_SWINE_OHIO_A01354305_2017-SEGMENT_4,GB_MF920400-A_SWINE_OHIO_A02219547_2017-SEGMENT_4,GB_MF962620-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_4,GB_MF996844-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_4,GB_MG198985-A_SWINE_IOWA_A02221506_2017-SEGMENT_4,GB_MG210351-A_SWINE_IOWA_A02221505_2017-SEGMENT_4,GB_MG210359-A_SWINE_IOWA_A02221508_2017-SEGMENT_4,GB_MG521117-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_4,GB_MG662640-A_SWINE_IOWA_A01104104_2017-SEGMENT_4,GB_MG835454-A_SWINE_KANSAS_A01378037_2017-SEGMENT_4,GB_MG912581-A_SWINE_KANSAS_A01378038_2017-SEGMENT_4,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,42.40078,42.40078,36.69376,42.40078,42.40078,19.1448,46.06026,36.69376,21.26051,42.40078,36.3366,39.51757,30.9084,31.95302,36.69376,42.40078,35.75514,34.76759,42.40078,42.40078,32.91592,42.40078,36.69376,19.1448,36.69376,24.08432,42.40078,34.76759,46.06026,46.06026,36.66609,46.06026,38.40596,35.75514,42.40078,32.78748,31.95372,46.06026,42.40078,30.91771,41.43069,42.40078,36.69376,40.46119,35.75514,40.49768,36.69376,42.40078,40.46682,46.06026,36.69376,36.69376,42.40078,42.40078,31.87672,42.40078,42.40078,36.69376,33.81054,36.69376,42.40078,42.40078,42.40078,42.40078,36.69376,42.40078,46.06026,36.69376,42.40078,46.06026,42.40078,42.40078,334.17162
#NORM_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY522877-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_4,GB_KY575157-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_4,GB_KY575163-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_4,GB_KY593235-A_SWINE_IOWA_A01672415_2017-SEGMENT_4,GB_KY593239-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_4,GB_KY653728-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_4,GB_KY653730-A_SWINE_IOWA_A01672518_2017-SEGMENT_4,GB_KY744604-A_SWINE_IOWA_A01672824_2017-SEGMENT_4,GB_KY744616-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_4,GB_KY744620-A_SWINE_INDIANA_A01672825_2017-SEGMENT_4,GB_KY766084-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_4,GB_KY802108-A_SWINE_IOWA_A01672342_2017-SEGMENT_4,GB_KY802128-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_4,GB_KY859939-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_4,GB_KY859954-A_SWINE_IOWA_A01932420_2017-SEGMENT_4,GB_KY888030-A_SWINE_KANSAS_A01378019_2017-SEGMENT_4,GB_KY941163-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_4,GB_KY941170-A_SWINE_IOWA_A01667091_2017-SEGMENT_4,GB_KY941174-A_SWINE_IOWA_A01667088_2017-SEGMENT_4,GB_KY970165-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_4,GB_KY995613-A_SWINE_OHIO_A02214229_2017-SEGMENT_4,GB_KY995627-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_4,GB_MF000461-A_SWINE_IOWA_A02214479_2017-SEGMENT_4,GB_MF000465-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_4,GB_MF000473-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_4,GB_MF000483-A_SWINE_IOWA_A01667089_2017-SEGMENT_4,GB_MF092731-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_4,GB_MF092751-A_SWINE_TEXAS_A02214607_2017-SEGMENT_4,GB_MF116358-A_SWINE_KANSAS_A01378027_2017-SEGMENT_4,GB_MF144692-A_SWINE_IOWA_A02214835_2017-SEGMENT_4,GB_MF144718-A_SWINE_IOWA_A02215041_2017-SEGMENT_4,GB_MF144722-A_SWINE_IOWA_A02215038_2017-SEGMENT_4,GB_MF150348-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_4,GB_MF150352-A_SWINE_INDIANA_A02214845_2017-SEGMENT_4,GB_MF150368-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_4,GB_MF150370-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_4,GB_MF150386-A_SWINE_OHIO_A02214848_2017-SEGMENT_4,GB_MF159347-A_SWINE_IOWA_A02215202_2017-SEGMENT_4,GB_MF159354-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_4,GB_MF289432-A_SWINE_OHIO_A02215367_2017-SEGMENT_4,GB_MF348031-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_4,GB_MF348033-A_SWINE_IOWA_A02216046_2017-SEGMENT_4,GB_MF348040-A_SWINE_IOWA_A02216044_2017-SEGMENT_4,GB_MF455471-A_SWINE_INDIANA_A02216644_2017-SEGMENT_4,GB_MF455479-A_SWINE_OHIO_A02216472_2017-SEGMENT_4,GB_MF455481-A_SWINE_IOWA_A02216456_2017-SEGMENT_4,GB_MF455483-A_SWINE_IOWA_A02217282_2017-SEGMENT_4,GB_MF582498-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_4,GB_MF582502-A_SWINE_IOWA_A02217313_2017-SEGMENT_4,GB_MF582510-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_4,GB_MF582532-A_SWINE_IOWA_A02218171_2017-SEGMENT_4,GB_MF582536-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_4,GB_MF582538-A_SWINE_INDIANA_A02218180_2017-SEGMENT_4,GB_MF692779-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_4,GB_MF692781-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_4,GB_MF716937-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_4,GB_MF716945-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_4,GB_MF765791-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_4,GB_MF784409-A_SWINE_IOWA_A02218755_2017-SEGMENT_4,GB_MF784419-A_SWINE_IOWA_A02218750_2017-SEGMENT_4,GB_MF801447-A_SWINE_OHIO_A01354304_2017-SEGMENT_4,GB_MF801537-A_SWINE_OHIO_A01354305_2017-SEGMENT_4,GB_MF920400-A_SWINE_OHIO_A02219547_2017-SEGMENT_4,GB_MF962620-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_4,GB_MF996844-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_4,GB_MG198985-A_SWINE_IOWA_A02221506_2017-SEGMENT_4,GB_MG210351-A_SWINE_IOWA_A02221505_2017-SEGMENT_4,GB_MG210359-A_SWINE_IOWA_A02221508_2017-SEGMENT_4,GB_MG521117-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_4,GB_MG662640-A_SWINE_IOWA_A01104104_2017-SEGMENT_4,GB_MG835454-A_SWINE_KANSAS_A01378037_2017-SEGMENT_4,GB_MG912581-A_SWINE_KANSAS_A01378038_2017-SEGMENT_4,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,0.00792,0.00792,0.00685,0.00792,0.00792,0.00358,0.0086,0.00685,0.00397,0.00792,0.00679,0.00738,0.00577,0.00597,0.00685,0.00792,0.00668,0.00649,0.00792,0.00792,0.00615,0.00792,0.00685,0.00358,0.00685,0.0045,0.00792,0.00649,0.0086,0.0086,0.00685,0.0086,0.00717,0.00668,0.00792,0.00612,0.00597,0.0086,0.00792,0.00577,0.00774,0.00792,0.00685,0.00756,0.00668,0.00756,0.00685,0.00792,0.00756,0.0086,0.00685,0.00685,0.00792,0.00792,0.00595,0.00792,0.00792,0.00685,0.00631,0.00685,0.00792,0.00792,0.00792,0.00792,0.00685,0.00792,0.0086,0.00685,0.00792,0.0086,0.00792,0.00792,0.0624
#COUNT_VAX_UNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY522877-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_4,GB_KY575157-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_4,GB_KY575163-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_4,GB_KY593235-A_SWINE_IOWA_A01672415_2017-SEGMENT_4,GB_KY593239-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_4,GB_KY653728-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_4,GB_KY653730-A_SWINE_IOWA_A01672518_2017-SEGMENT_4,GB_KY744604-A_SWINE_IOWA_A01672824_2017-SEGMENT_4,GB_KY744616-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_4,GB_KY744620-A_SWINE_INDIANA_A01672825_2017-SEGMENT_4,GB_KY766084-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_4,GB_KY802108-A_SWINE_IOWA_A01672342_2017-SEGMENT_4,GB_KY802128-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_4,GB_KY859939-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_4,GB_KY859954-A_SWINE_IOWA_A01932420_2017-SEGMENT_4,GB_KY888030-A_SWINE_KANSAS_A01378019_2017-SEGMENT_4,GB_KY941163-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_4,GB_KY941170-A_SWINE_IOWA_A01667091_2017-SEGMENT_4,GB_KY941174-A_SWINE_IOWA_A01667088_2017-SEGMENT_4,GB_KY970165-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_4,GB_KY995613-A_SWINE_OHIO_A02214229_2017-SEGMENT_4,GB_KY995627-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_4,GB_MF000461-A_SWINE_IOWA_A02214479_2017-SEGMENT_4,GB_MF000465-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_4,GB_MF000473-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_4,GB_MF000483-A_SWINE_IOWA_A01667089_2017-SEGMENT_4,GB_MF092731-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_4,GB_MF092751-A_SWINE_TEXAS_A02214607_2017-SEGMENT_4,GB_MF116358-A_SWINE_KANSAS_A01378027_2017-SEGMENT_4,GB_MF144692-A_SWINE_IOWA_A02214835_2017-SEGMENT_4,GB_MF144718-A_SWINE_IOWA_A02215041_2017-SEGMENT_4,GB_MF144722-A_SWINE_IOWA_A02215038_2017-SEGMENT_4,GB_MF150348-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_4,GB_MF150352-A_SWINE_INDIANA_A02214845_2017-SEGMENT_4,GB_MF150368-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_4,GB_MF150370-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_4,GB_MF150386-A_SWINE_OHIO_A02214848_2017-SEGMENT_4,GB_MF159347-A_SWINE_IOWA_A02215202_2017-SEGMENT_4,GB_MF159354-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_4,GB_MF289432-A_SWINE_OHIO_A02215367_2017-SEGMENT_4,GB_MF348031-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_4,GB_MF348033-A_SWINE_IOWA_A02216046_2017-SEGMENT_4,GB_MF348040-A_SWINE_IOWA_A02216044_2017-SEGMENT_4,GB_MF455471-A_SWINE_INDIANA_A02216644_2017-SEGMENT_4,GB_MF455479-A_SWINE_OHIO_A02216472_2017-SEGMENT_4,GB_MF455481-A_SWINE_IOWA_A02216456_2017-SEGMENT_4,GB_MF455483-A_SWINE_IOWA_A02217282_2017-SEGMENT_4,GB_MF582498-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_4,GB_MF582502-A_SWINE_IOWA_A02217313_2017-SEGMENT_4,GB_MF582510-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_4,GB_MF582532-A_SWINE_IOWA_A02218171_2017-SEGMENT_4,GB_MF582536-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_4,GB_MF582538-A_SWINE_INDIANA_A02218180_2017-SEGMENT_4,GB_MF692779-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_4,GB_MF692781-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_4,GB_MF716937-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_4,GB_MF716945-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_4,GB_MF765791-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_4,GB_MF784409-A_SWINE_IOWA_A02218755_2017-SEGMENT_4,GB_MF784419-A_SWINE_IOWA_A02218750_2017-SEGMENT_4,GB_MF801447-A_SWINE_OHIO_A01354304_2017-SEGMENT_4,GB_MF801537-A_SWINE_OHIO_A01354305_2017-SEGMENT_4,GB_MF920400-A_SWINE_OHIO_A02219547_2017-SEGMENT_4,GB_MF962620-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_4,GB_MF996844-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_4,GB_MG198985-A_SWINE_IOWA_A02221506_2017-SEGMENT_4,GB_MG210351-A_SWINE_IOWA_A02221505_2017-SEGMENT_4,GB_MG210359-A_SWINE_IOWA_A02221508_2017-SEGMENT_4,GB_MG521117-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_4,GB_MG662640-A_SWINE_IOWA_A01104104_2017-SEGMENT_4,GB_MG835454-A_SWINE_KANSAS_A01378037_2017-SEGMENT_4,GB_MG912581-A_SWINE_KANSAS_A01378038_2017-SEGMENT_4,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
