#COUNT_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888027-A_SWINE_KANSAS_A01378019_2017-SEGMENT_1,GB_KY970162-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_1,GB_MF116355-A_SWINE_KANSAS_A01378027_2017-SEGMENT_1,GB_MF373215-A_SWINE_IOWA_A01672518_2017-SEGMENT_1,GB_MF373233-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_1,GB_MF373262-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_1,GB_MF373280-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_1,GB_MF373292-A_SWINE_IOWA_A01672342_2017-SEGMENT_1,GB_MF373298-A_SWINE_IOWA_A01672415_2017-SEGMENT_1,GB_MF373304-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_1,GB_MF521996-A_SWINE_IOWA_A01672824_2017-SEGMENT_1,GB_MF522008-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_1,GB_MF522032-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_1,GB_MF522038-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_1,GB_MF522050-A_SWINE_INDIANA_A01672825_2017-SEGMENT_1,GB_MF522062-A_SWINE_IOWA_A01932420_2017-SEGMENT_1,GB_MF522068-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_1,GB_MF664401-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_1,GB_MF716915-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_1,GB_MF716920-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_1,GB_MF801444-A_SWINE_OHIO_A01354304_2017-SEGMENT_1,GB_MF801452-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_1,GB_MF801496-A_SWINE_IOWA_A01667089_2017-SEGMENT_1,GB_MF801516-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_1,GB_MF801522-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_1,GB_MF801528-A_SWINE_OHIO_A02214229_2017-SEGMENT_1,GB_MF801534-A_SWINE_OHIO_A01354305_2017-SEGMENT_1,GB_MF801554-A_SWINE_IOWA_A01667091_2017-SEGMENT_1,GB_MF801574-A_SWINE_IOWA_A01667088_2017-SEGMENT_1,GB_MF801592-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_1,GB_MF973284-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_1,GB_MF973290-A_SWINE_IOWA_A02214835_2017-SEGMENT_1,GB_MF973314-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_1,GB_MF973344-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_1,GB_MF973350-A_SWINE_INDIANA_A02214845_2017-SEGMENT_1,GB_MF973356-A_SWINE_IOWA_A02214479_2017-SEGMENT_1,GB_MF973368-A_SWINE_TEXAS_A02214607_2017-SEGMENT_1,GB_MF973374-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_1,GB_MF973392-A_SWINE_OHIO_A02214848_2017-SEGMENT_1,GB_MG193775-A_SWINE_IOWA_A02215202_2017-SEGMENT_1,GB_MG193787-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_1,GB_MG193793-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_1,GB_MG193807-A_SWINE_IOWA_A02216046_2017-SEGMENT_1,GB_MG193845-A_SWINE_IOWA_A02216044_2017-SEGMENT_1,GB_MG193857-A_SWINE_IOWA_A02216456_2017-SEGMENT_1,GB_MG193869-A_SWINE_OHIO_A02215367_2017-SEGMENT_1,GB_MG193891-A_SWINE_IOWA_A02215041_2017-SEGMENT_1,GB_MG193903-A_SWINE_IOWA_A02215038_2017-SEGMENT_1,GB_MG521000-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_1,GB_MG521006-A_SWINE_IOWA_A02217313_2017-SEGMENT_1,GB_MG521024-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_1,GB_MG521030-A_SWINE_INDIANA_A02216644_2017-SEGMENT_1,GB_MG521042-A_SWINE_OHIO_A02216472_2017-SEGMENT_1,GB_MG521048-A_SWINE_IOWA_A02217282_2017-SEGMENT_1,GB_MG521108-A_SWINE_INDIANA_A02218180_2017-SEGMENT_1,GB_MG521114-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_1,GB_MG650642-A_SWINE_IOWA_A02218171_2017-SEGMENT_1,GB_MG662553-A_SWINE_IOWA_A02218755_2017-SEGMENT_1,GB_MG662571-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_1,GB_MG662601-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_1,GB_MG662637-A_SWINE_IOWA_A01104104_2017-SEGMENT_1,GB_MG662657-A_SWINE_IOWA_A02218750_2017-SEGMENT_1,GB_MG662677-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_1,GB_MG784562-A_SWINE_IOWA_A02221505_2017-SEGMENT_1,GB_MG784568-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_1,GB_MG784580-A_SWINE_IOWA_A02221508_2017-SEGMENT_1,GB_MG784592-A_SWINE_IOWA_A02221506_2017-SEGMENT_1,GB_MG784616-A_SWINE_OHIO_A02219547_2017-SEGMENT_1,GB_MG784628-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_1,GB_MG784646-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_1,GB_MG835451-A_SWINE_KANSAS_A01378037_2017-SEGMENT_1,GB_MG912578-A_SWINE_KANSAS_A01378038_2017-SEGMENT_1,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,349
#RAW_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888027-A_SWINE_KANSAS_A01378019_2017-SEGMENT_1,GB_KY970162-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_1,GB_MF116355-A_SWINE_KANSAS_A01378027_2017-SEGMENT_1,GB_MF373215-A_SWINE_IOWA_A01672518_2017-SEGMENT_1,GB_MF373233-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_1,GB_MF373262-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_1,GB_MF373280-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_1,GB_MF373292-A_SWINE_IOWA_A01672342_2017-SEGMENT_1,GB_MF373298-A_SWINE_IOWA_A01672415_2017-SEGMENT_1,GB_MF373304-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_1,GB_MF521996-A_SWINE_IOWA_A01672824_2017-SEGMENT_1,GB_MF522008-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_1,GB_MF522032-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_1,GB_MF522038-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_1,GB_MF522050-A_SWINE_INDIANA_A01672825_2017-SEGMENT_1,GB_MF522062-A_SWINE_IOWA_A01932420_2017-SEGMENT_1,GB_MF522068-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_1,GB_MF664401-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_1,GB_MF716915-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_1,GB_MF716920-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_1,GB_MF801444-A_SWINE_OHIO_A01354304_2017-SEGMENT_1,GB_MF801452-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_1,GB_MF801496-A_SWINE_IOWA_A01667089_2017-SEGMENT_1,GB_MF801516-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_1,GB_MF801522-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_1,GB_MF801528-A_SWINE_OHIO_A02214229_2017-SEGMENT_1,GB_MF801534-A_SWINE_OHIO_A01354305_2017-SEGMENT_1,GB_MF801554-A_SWINE_IOWA_A01667091_2017-SEGMENT_1,GB_MF801574-A_SWINE_IOWA_A01667088_2017-SEGMENT_1,GB_MF801592-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_1,GB_MF973284-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_1,GB_MF973290-A_SWINE_IOWA_A02214835_2017-SEGMENT_1,GB_MF973314-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_1,GB_MF973344-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_1,GB_MF973350-A_SWINE_INDIANA_A02214845_2017-SEGMENT_1,GB_MF973356-A_SWINE_IOWA_A02214479_2017-SEGMENT_1,GB_MF973368-A_SWINE_TEXAS_A02214607_2017-SEGMENT_1,GB_MF973374-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_1,GB_MF973392-A_SWINE_OHIO_A02214848_2017-SEGMENT_1,GB_MG193775-A_SWINE_IOWA_A02215202_2017-SEGMENT_1,GB_MG193787-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_1,GB_MG193793-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_1,GB_MG193807-A_SWINE_IOWA_A02216046_2017-SEGMENT_1,GB_MG193845-A_SWINE_IOWA_A02216044_2017-SEGMENT_1,GB_MG193857-A_SWINE_IOWA_A02216456_2017-SEGMENT_1,GB_MG193869-A_SWINE_OHIO_A02215367_2017-SEGMENT_1,GB_MG193891-A_SWINE_IOWA_A02215041_2017-SEGMENT_1,GB_MG193903-A_SWINE_IOWA_A02215038_2017-SEGMENT_1,GB_MG521000-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_1,GB_MG521006-A_SWINE_IOWA_A02217313_2017-SEGMENT_1,GB_MG521024-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_1,GB_MG521030-A_SWINE_INDIANA_A02216644_2017-SEGMENT_1,GB_MG521042-A_SWINE_OHIO_A02216472_2017-SEGMENT_1,GB_MG521048-A_SWINE_IOWA_A02217282_2017-SEGMENT_1,GB_MG521108-A_SWINE_INDIANA_A02218180_2017-SEGMENT_1,GB_MG521114-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_1,GB_MG650642-A_SWINE_IOWA_A02218171_2017-SEGMENT_1,GB_MG662553-A_SWINE_IOWA_A02218755_2017-SEGMENT_1,GB_MG662571-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_1,GB_MG662601-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_1,GB_MG662637-A_SWINE_IOWA_A01104104_2017-SEGMENT_1,GB_MG662657-A_SWINE_IOWA_A02218750_2017-SEGMENT_1,GB_MG662677-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_1,GB_MG784562-A_SWINE_IOWA_A02221505_2017-SEGMENT_1,GB_MG784568-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_1,GB_MG784580-A_SWINE_IOWA_A02221508_2017-SEGMENT_1,GB_MG784592-A_SWINE_IOWA_A02221506_2017-SEGMENT_1,GB_MG784616-A_SWINE_OHIO_A02219547_2017-SEGMENT_1,GB_MG784628-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_1,GB_MG784646-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_1,GB_MG835451-A_SWINE_KANSAS_A01378037_2017-SEGMENT_1,GB_MG912578-A_SWINE_KANSAS_A01378038_2017-SEGMENT_1,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,2.9652,2.94895,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.94895,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,2.9652,334.17162
#NORM_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888027-A_SWINE_KANSAS_A01378019_2017-SEGMENT_1,GB_KY970162-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_1,GB_MF116355-A_SWINE_KANSAS_A01378027_2017-SEGMENT_1,GB_MF373215-A_SWINE_IOWA_A01672518_2017-SEGMENT_1,GB_MF373233-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_1,GB_MF373262-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_1,GB_MF373280-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_1,GB_MF373292-A_SWINE_IOWA_A01672342_2017-SEGMENT_1,GB_MF373298-A_SWINE_IOWA_A01672415_2017-SEGMENT_1,GB_MF373304-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_1,GB_MF521996-A_SWINE_IOWA_A01672824_2017-SEGMENT_1,GB_MF522008-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_1,GB_MF522032-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_1,GB_MF522038-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_1,GB_MF522050-A_SWINE_INDIANA_A01672825_2017-SEGMENT_1,GB_MF522062-A_SWINE_IOWA_A01932420_2017-SEGMENT_1,GB_MF522068-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_1,GB_MF664401-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_1,GB_MF716915-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_1,GB_MF716920-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_1,GB_MF801444-A_SWINE_OHIO_A01354304_2017-SEGMENT_1,GB_MF801452-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_1,GB_MF801496-A_SWINE_IOWA_A01667089_2017-SEGMENT_1,GB_MF801516-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_1,GB_MF801522-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_1,GB_MF801528-A_SWINE_OHIO_A02214229_2017-SEGMENT_1,GB_MF801534-A_SWINE_OHIO_A01354305_2017-SEGMENT_1,GB_MF801554-A_SWINE_IOWA_A01667091_2017-SEGMENT_1,GB_MF801574-A_SWINE_IOWA_A01667088_2017-SEGMENT_1,GB_MF801592-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_1,GB_MF973284-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_1,GB_MF973290-A_SWINE_IOWA_A02214835_2017-SEGMENT_1,GB_MF973314-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_1,GB_MF973344-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_1,GB_MF973350-A_SWINE_INDIANA_A02214845_2017-SEGMENT_1,GB_MF973356-A_SWINE_IOWA_A02214479_2017-SEGMENT_1,GB_MF973368-A_SWINE_TEXAS_A02214607_2017-SEGMENT_1,GB_MF973374-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_1,GB_MF973392-A_SWINE_OHIO_A02214848_2017-SEGMENT_1,GB_MG193775-A_SWINE_IOWA_A02215202_2017-SEGMENT_1,GB_MG193787-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_1,GB_MG193793-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_1,GB_MG193807-A_SWINE_IOWA_A02216046_2017-SEGMENT_1,GB_MG193845-A_SWINE_IOWA_A02216044_2017-SEGMENT_1,GB_MG193857-A_SWINE_IOWA_A02216456_2017-SEGMENT_1,GB_MG193869-A_SWINE_OHIO_A02215367_2017-SEGMENT_1,GB_MG193891-A_SWINE_IOWA_A02215041_2017-SEGMENT_1,GB_MG193903-A_SWINE_IOWA_A02215038_2017-SEGMENT_1,GB_MG521000-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_1,GB_MG521006-A_SWINE_IOWA_A02217313_2017-SEGMENT_1,GB_MG521024-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_1,GB_MG521030-A_SWINE_INDIANA_A02216644_2017-SEGMENT_1,GB_MG521042-A_SWINE_OHIO_A02216472_2017-SEGMENT_1,GB_MG521048-A_SWINE_IOWA_A02217282_2017-SEGMENT_1,GB_MG521108-A_SWINE_INDIANA_A02218180_2017-SEGMENT_1,GB_MG521114-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_1,GB_MG650642-A_SWINE_IOWA_A02218171_2017-SEGMENT_1,GB_MG662553-A_SWINE_IOWA_A02218755_2017-SEGMENT_1,GB_MG662571-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_1,GB_MG662601-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_1,GB_MG662637-A_SWINE_IOWA_A01104104_2017-SEGMENT_1,GB_MG662657-A_SWINE_IOWA_A02218750_2017-SEGMENT_1,GB_MG662677-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_1,GB_MG784562-A_SWINE_IOWA_A02221505_2017-SEGMENT_1,GB_MG784568-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_1,GB_MG784580-A_SWINE_IOWA_A02221508_2017-SEGMENT_1,GB_MG784592-A_SWINE_IOWA_A02221506_2017-SEGMENT_1,GB_MG784616-A_SWINE_OHIO_A02219547_2017-SEGMENT_1,GB_MG784628-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_1,GB_MG784646-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_1,GB_MG835451-A_SWINE_KANSAS_A01378037_2017-SEGMENT_1,GB_MG912578-A_SWINE_KANSAS_A01378038_2017-SEGMENT_1,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.00055,0.0624
#COUNT_VAX_UNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888027-A_SWINE_KANSAS_A01378019_2017-SEGMENT_1,GB_KY970162-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_1,GB_MF116355-A_SWINE_KANSAS_A01378027_2017-SEGMENT_1,GB_MF373215-A_SWINE_IOWA_A01672518_2017-SEGMENT_1,GB_MF373233-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_1,GB_MF373262-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_1,GB_MF373280-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_1,GB_MF373292-A_SWINE_IOWA_A01672342_2017-SEGMENT_1,GB_MF373298-A_SWINE_IOWA_A01672415_2017-SEGMENT_1,GB_MF373304-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_1,GB_MF521996-A_SWINE_IOWA_A01672824_2017-SEGMENT_1,GB_MF522008-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_1,GB_MF522032-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_1,GB_MF522038-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_1,GB_MF522050-A_SWINE_INDIANA_A01672825_2017-SEGMENT_1,GB_MF522062-A_SWINE_IOWA_A01932420_2017-SEGMENT_1,GB_MF522068-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_1,GB_MF664401-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_1,GB_MF716915-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_1,GB_MF716920-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_1,GB_MF801444-A_SWINE_OHIO_A01354304_2017-SEGMENT_1,GB_MF801452-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_1,GB_MF801496-A_SWINE_IOWA_A01667089_2017-SEGMENT_1,GB_MF801516-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_1,GB_MF801522-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_1,GB_MF801528-A_SWINE_OHIO_A02214229_2017-SEGMENT_1,GB_MF801534-A_SWINE_OHIO_A01354305_2017-SEGMENT_1,GB_MF801554-A_SWINE_IOWA_A01667091_2017-SEGMENT_1,GB_MF801574-A_SWINE_IOWA_A01667088_2017-SEGMENT_1,GB_MF801592-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_1,GB_MF973284-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_1,GB_MF973290-A_SWINE_IOWA_A02214835_2017-SEGMENT_1,GB_MF973314-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_1,GB_MF973344-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_1,GB_MF973350-A_SWINE_INDIANA_A02214845_2017-SEGMENT_1,GB_MF973356-A_SWINE_IOWA_A02214479_2017-SEGMENT_1,GB_MF973368-A_SWINE_TEXAS_A02214607_2017-SEGMENT_1,GB_MF973374-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_1,GB_MF973392-A_SWINE_OHIO_A02214848_2017-SEGMENT_1,GB_MG193775-A_SWINE_IOWA_A02215202_2017-SEGMENT_1,GB_MG193787-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_1,GB_MG193793-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_1,GB_MG193807-A_SWINE_IOWA_A02216046_2017-SEGMENT_1,GB_MG193845-A_SWINE_IOWA_A02216044_2017-SEGMENT_1,GB_MG193857-A_SWINE_IOWA_A02216456_2017-SEGMENT_1,GB_MG193869-A_SWINE_OHIO_A02215367_2017-SEGMENT_1,GB_MG193891-A_SWINE_IOWA_A02215041_2017-SEGMENT_1,GB_MG193903-A_SWINE_IOWA_A02215038_2017-SEGMENT_1,GB_MG521000-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_1,GB_MG521006-A_SWINE_IOWA_A02217313_2017-SEGMENT_1,GB_MG521024-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_1,GB_MG521030-A_SWINE_INDIANA_A02216644_2017-SEGMENT_1,GB_MG521042-A_SWINE_OHIO_A02216472_2017-SEGMENT_1,GB_MG521048-A_SWINE_IOWA_A02217282_2017-SEGMENT_1,GB_MG521108-A_SWINE_INDIANA_A02218180_2017-SEGMENT_1,GB_MG521114-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_1,GB_MG650642-A_SWINE_IOWA_A02218171_2017-SEGMENT_1,GB_MG662553-A_SWINE_IOWA_A02218755_2017-SEGMENT_1,GB_MG662571-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_1,GB_MG662601-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_1,GB_MG662637-A_SWINE_IOWA_A01104104_2017-SEGMENT_1,GB_MG662657-A_SWINE_IOWA_A02218750_2017-SEGMENT_1,GB_MG662677-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_1,GB_MG784562-A_SWINE_IOWA_A02221505_2017-SEGMENT_1,GB_MG784568-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_1,GB_MG784580-A_SWINE_IOWA_A02221508_2017-SEGMENT_1,GB_MG784592-A_SWINE_IOWA_A02221506_2017-SEGMENT_1,GB_MG784616-A_SWINE_OHIO_A02219547_2017-SEGMENT_1,GB_MG784628-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_1,GB_MG784646-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_1,GB_MG835451-A_SWINE_KANSAS_A01378037_2017-SEGMENT_1,GB_MG912578-A_SWINE_KANSAS_A01378038_2017-SEGMENT_1,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
