#COUNT_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY522878-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_6,GB_KY575158-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_6,GB_KY575164-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_6,GB_KY593236-A_SWINE_IOWA_A01672415_2017-SEGMENT_6,GB_KY593240-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_6,GB_KY653729-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_6,GB_KY653731-A_SWINE_IOWA_A01672518_2017-SEGMENT_6,GB_KY744605-A_SWINE_IOWA_A01672824_2017-SEGMENT_6,GB_KY744617-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_6,GB_KY744621-A_SWINE_INDIANA_A01672825_2017-SEGMENT_6,GB_KY766085-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_6,GB_KY802109-A_SWINE_IOWA_A01672342_2017-SEGMENT_6,GB_KY802129-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_6,GB_KY859940-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_6,GB_KY859955-A_SWINE_IOWA_A01932420_2017-SEGMENT_6,GB_KY888032-A_SWINE_KANSAS_A01378019_2017-SEGMENT_6,GB_KY941164-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_6,GB_KY941171-A_SWINE_IOWA_A01667091_2017-SEGMENT_6,GB_KY941175-A_SWINE_IOWA_A01667088_2017-SEGMENT_6,GB_KY970167-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_6,GB_KY995614-A_SWINE_OHIO_A02214229_2017-SEGMENT_6,GB_KY995628-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_6,GB_MF000462-A_SWINE_IOWA_A02214479_2017-SEGMENT_6,GB_MF000466-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_6,GB_MF000474-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_6,GB_MF000484-A_SWINE_IOWA_A01667089_2017-SEGMENT_6,GB_MF092732-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_6,GB_MF092752-A_SWINE_TEXAS_A02214607_2017-SEGMENT_6,GB_MF116360-A_SWINE_KANSAS_A01378027_2017-SEGMENT_6,GB_MF144693-A_SWINE_IOWA_A02214835_2017-SEGMENT_6,GB_MF144719-A_SWINE_IOWA_A02215041_2017-SEGMENT_6,GB_MF144723-A_SWINE_IOWA_A02215038_2017-SEGMENT_6,GB_MF150349-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_6,GB_MF150353-A_SWINE_INDIANA_A02214845_2017-SEGMENT_6,GB_MF150369-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_6,GB_MF150371-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_6,GB_MF150387-A_SWINE_OHIO_A02214848_2017-SEGMENT_6,GB_MF159348-A_SWINE_IOWA_A02215202_2017-SEGMENT_6,GB_MF159355-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_6,GB_MF289433-A_SWINE_OHIO_A02215367_2017-SEGMENT_6,GB_MF348032-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_6,GB_MF348034-A_SWINE_IOWA_A02216046_2017-SEGMENT_6,GB_MF348041-A_SWINE_IOWA_A02216044_2017-SEGMENT_6,GB_MF455472-A_SWINE_INDIANA_A02216644_2017-SEGMENT_6,GB_MF455480-A_SWINE_OHIO_A02216472_2017-SEGMENT_6,GB_MF455482-A_SWINE_IOWA_A02216456_2017-SEGMENT_6,GB_MF455484-A_SWINE_IOWA_A02217282_2017-SEGMENT_6,GB_MF582499-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_6,GB_MF582503-A_SWINE_IOWA_A02217313_2017-SEGMENT_6,GB_MF582511-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_6,GB_MF582533-A_SWINE_IOWA_A02218171_2017-SEGMENT_6,GB_MF582537-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_6,GB_MF582539-A_SWINE_INDIANA_A02218180_2017-SEGMENT_6,GB_MF692780-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_6,GB_MF692782-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_6,GB_MF716913-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_6,GB_MF716925-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_6,GB_MF765792-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_6,GB_MF784410-A_SWINE_IOWA_A02218755_2017-SEGMENT_6,GB_MF784420-A_SWINE_IOWA_A02218750_2017-SEGMENT_6,GB_MF801449-A_SWINE_OHIO_A01354304_2017-SEGMENT_6,GB_MF801539-A_SWINE_OHIO_A01354305_2017-SEGMENT_6,GB_MF920401-A_SWINE_OHIO_A02219547_2017-SEGMENT_6,GB_MF962621-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_6,GB_MF996845-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_6,GB_MG198986-A_SWINE_IOWA_A02221506_2017-SEGMENT_6,GB_MG210352-A_SWINE_IOWA_A02221505_2017-SEGMENT_6,GB_MG210360-A_SWINE_IOWA_A02221508_2017-SEGMENT_6,GB_MG521119-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_6,GB_MG662642-A_SWINE_IOWA_A01104104_2017-SEGMENT_6,GB_MG835456-A_SWINE_KANSAS_A01378037_2017-SEGMENT_6,GB_MG912583-A_SWINE_KANSAS_A01378038_2017-SEGMENT_6,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,15,11,11,11,11,41,45,11,11,10,45,11,10,10,11,11,11,10,11,11,11,11,11,41,11,11,11,10,45,40,11,43,11,11,11,10,11,45,9,11,11,11,11,11,11,10,11,11,11,45,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,45,11,11,45,11,11,311
#RAW_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY522878-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_6,GB_KY575158-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_6,GB_KY575164-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_6,GB_KY593236-A_SWINE_IOWA_A01672415_2017-SEGMENT_6,GB_KY593240-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_6,GB_KY653729-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_6,GB_KY653731-A_SWINE_IOWA_A01672518_2017-SEGMENT_6,GB_KY744605-A_SWINE_IOWA_A01672824_2017-SEGMENT_6,GB_KY744617-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_6,GB_KY744621-A_SWINE_INDIANA_A01672825_2017-SEGMENT_6,GB_KY766085-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_6,GB_KY802109-A_SWINE_IOWA_A01672342_2017-SEGMENT_6,GB_KY802129-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_6,GB_KY859940-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_6,GB_KY859955-A_SWINE_IOWA_A01932420_2017-SEGMENT_6,GB_KY888032-A_SWINE_KANSAS_A01378019_2017-SEGMENT_6,GB_KY941164-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_6,GB_KY941171-A_SWINE_IOWA_A01667091_2017-SEGMENT_6,GB_KY941175-A_SWINE_IOWA_A01667088_2017-SEGMENT_6,GB_KY970167-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_6,GB_KY995614-A_SWINE_OHIO_A02214229_2017-SEGMENT_6,GB_KY995628-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_6,GB_MF000462-A_SWINE_IOWA_A02214479_2017-SEGMENT_6,GB_MF000466-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_6,GB_MF000474-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_6,GB_MF000484-A_SWINE_IOWA_A01667089_2017-SEGMENT_6,GB_MF092732-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_6,GB_MF092752-A_SWINE_TEXAS_A02214607_2017-SEGMENT_6,GB_MF116360-A_SWINE_KANSAS_A01378027_2017-SEGMENT_6,GB_MF144693-A_SWINE_IOWA_A02214835_2017-SEGMENT_6,GB_MF144719-A_SWINE_IOWA_A02215041_2017-SEGMENT_6,GB_MF144723-A_SWINE_IOWA_A02215038_2017-SEGMENT_6,GB_MF150349-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_6,GB_MF150353-A_SWINE_INDIANA_A02214845_2017-SEGMENT_6,GB_MF150369-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_6,GB_MF150371-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_6,GB_MF150387-A_SWINE_OHIO_A02214848_2017-SEGMENT_6,GB_MF159348-A_SWINE_IOWA_A02215202_2017-SEGMENT_6,GB_MF159355-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_6,GB_MF289433-A_SWINE_OHIO_A02215367_2017-SEGMENT_6,GB_MF348032-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_6,GB_MF348034-A_SWINE_IOWA_A02216046_2017-SEGMENT_6,GB_MF348041-A_SWINE_IOWA_A02216044_2017-SEGMENT_6,GB_MF455472-A_SWINE_INDIANA_A02216644_2017-SEGMENT_6,GB_MF455480-A_SWINE_OHIO_A02216472_2017-SEGMENT_6,GB_MF455482-A_SWINE_IOWA_A02216456_2017-SEGMENT_6,GB_MF455484-A_SWINE_IOWA_A02217282_2017-SEGMENT_6,GB_MF582499-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_6,GB_MF582503-A_SWINE_IOWA_A02217313_2017-SEGMENT_6,GB_MF582511-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_6,GB_MF582533-A_SWINE_IOWA_A02218171_2017-SEGMENT_6,GB_MF582537-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_6,GB_MF582539-A_SWINE_INDIANA_A02218180_2017-SEGMENT_6,GB_MF692780-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_6,GB_MF692782-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_6,GB_MF716913-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_6,GB_MF716925-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_6,GB_MF765792-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_6,GB_MF784410-A_SWINE_IOWA_A02218755_2017-SEGMENT_6,GB_MF784420-A_SWINE_IOWA_A02218750_2017-SEGMENT_6,GB_MF801449-A_SWINE_OHIO_A01354304_2017-SEGMENT_6,GB_MF801539-A_SWINE_OHIO_A01354305_2017-SEGMENT_6,GB_MF920401-A_SWINE_OHIO_A02219547_2017-SEGMENT_6,GB_MF962621-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_6,GB_MF996845-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_6,GB_MG198986-A_SWINE_IOWA_A02221506_2017-SEGMENT_6,GB_MG210352-A_SWINE_IOWA_A02221505_2017-SEGMENT_6,GB_MG210360-A_SWINE_IOWA_A02221508_2017-SEGMENT_6,GB_MG521119-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_6,GB_MG662642-A_SWINE_IOWA_A01104104_2017-SEGMENT_6,GB_MG835456-A_SWINE_KANSAS_A01378037_2017-SEGMENT_6,GB_MG912583-A_SWINE_KANSAS_A01378038_2017-SEGMENT_6,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,14.35711,10.46739,10.46739,10.46739,10.46739,39.25017,43.01674,10.47226,10.47226,9.54845,43.04716,10.46739,9.54845,9.54845,10.46739,10.47226,10.46739,9.54845,10.46739,10.46739,10.46739,10.46739,10.47226,39.25017,10.47226,10.46739,10.46739,9.54845,43.01674,38.14104,10.46739,41.11265,10.46739,10.46739,10.46739,9.54845,10.46739,43.01674,8.6158,10.46739,10.46739,10.46739,10.46739,10.46739,10.46739,9.54845,10.46739,10.46739,10.46739,43.01674,10.46739,10.46739,10.46739,10.46739,9.54845,10.46739,10.46739,10.46739,10.46739,10.46739,10.46739,10.46739,10.46739,10.46739,10.46739,10.46739,43.01674,10.46739,10.46739,43.01674,10.46739,10.46739,297.62496
#NORM_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY522878-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_6,GB_KY575158-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_6,GB_KY575164-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_6,GB_KY593236-A_SWINE_IOWA_A01672415_2017-SEGMENT_6,GB_KY593240-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_6,GB_KY653729-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_6,GB_KY653731-A_SWINE_IOWA_A01672518_2017-SEGMENT_6,GB_KY744605-A_SWINE_IOWA_A01672824_2017-SEGMENT_6,GB_KY744617-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_6,GB_KY744621-A_SWINE_INDIANA_A01672825_2017-SEGMENT_6,GB_KY766085-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_6,GB_KY802109-A_SWINE_IOWA_A01672342_2017-SEGMENT_6,GB_KY802129-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_6,GB_KY859940-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_6,GB_KY859955-A_SWINE_IOWA_A01932420_2017-SEGMENT_6,GB_KY888032-A_SWINE_KANSAS_A01378019_2017-SEGMENT_6,GB_KY941164-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_6,GB_KY941171-A_SWINE_IOWA_A01667091_2017-SEGMENT_6,GB_KY941175-A_SWINE_IOWA_A01667088_2017-SEGMENT_6,GB_KY970167-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_6,GB_KY995614-A_SWINE_OHIO_A02214229_2017-SEGMENT_6,GB_KY995628-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_6,GB_MF000462-A_SWINE_IOWA_A02214479_2017-SEGMENT_6,GB_MF000466-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_6,GB_MF000474-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_6,GB_MF000484-A_SWINE_IOWA_A01667089_2017-SEGMENT_6,GB_MF092732-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_6,GB_MF092752-A_SWINE_TEXAS_A02214607_2017-SEGMENT_6,GB_MF116360-A_SWINE_KANSAS_A01378027_2017-SEGMENT_6,GB_MF144693-A_SWINE_IOWA_A02214835_2017-SEGMENT_6,GB_MF144719-A_SWINE_IOWA_A02215041_2017-SEGMENT_6,GB_MF144723-A_SWINE_IOWA_A02215038_2017-SEGMENT_6,GB_MF150349-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_6,GB_MF150353-A_SWINE_INDIANA_A02214845_2017-SEGMENT_6,GB_MF150369-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_6,GB_MF150371-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_6,GB_MF150387-A_SWINE_OHIO_A02214848_2017-SEGMENT_6,GB_MF159348-A_SWINE_IOWA_A02215202_2017-SEGMENT_6,GB_MF159355-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_6,GB_MF289433-A_SWINE_OHIO_A02215367_2017-SEGMENT_6,GB_MF348032-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_6,GB_MF348034-A_SWINE_IOWA_A02216046_2017-SEGMENT_6,GB_MF348041-A_SWINE_IOWA_A02216044_2017-SEGMENT_6,GB_MF455472-A_SWINE_INDIANA_A02216644_2017-SEGMENT_6,GB_MF455480-A_SWINE_OHIO_A02216472_2017-SEGMENT_6,GB_MF455482-A_SWINE_IOWA_A02216456_2017-SEGMENT_6,GB_MF455484-A_SWINE_IOWA_A02217282_2017-SEGMENT_6,GB_MF582499-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_6,GB_MF582503-A_SWINE_IOWA_A02217313_2017-SEGMENT_6,GB_MF582511-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_6,GB_MF582533-A_SWINE_IOWA_A02218171_2017-SEGMENT_6,GB_MF582537-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_6,GB_MF582539-A_SWINE_INDIANA_A02218180_2017-SEGMENT_6,GB_MF692780-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_6,GB_MF692782-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_6,GB_MF716913-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_6,GB_MF716925-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_6,GB_MF765792-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_6,GB_MF784410-A_SWINE_IOWA_A02218755_2017-SEGMENT_6,GB_MF784420-A_SWINE_IOWA_A02218750_2017-SEGMENT_6,GB_MF801449-A_SWINE_OHIO_A01354304_2017-SEGMENT_6,GB_MF801539-A_SWINE_OHIO_A01354305_2017-SEGMENT_6,GB_MF920401-A_SWINE_OHIO_A02219547_2017-SEGMENT_6,GB_MF962621-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_6,GB_MF996845-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_6,GB_MG198986-A_SWINE_IOWA_A02221506_2017-SEGMENT_6,GB_MG210352-A_SWINE_IOWA_A02221505_2017-SEGMENT_6,GB_MG210360-A_SWINE_IOWA_A02221508_2017-SEGMENT_6,GB_MG521119-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_6,GB_MG662642-A_SWINE_IOWA_A01104104_2017-SEGMENT_6,GB_MG835456-A_SWINE_KANSAS_A01378037_2017-SEGMENT_6,GB_MG912583-A_SWINE_KANSAS_A01378038_2017-SEGMENT_6,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,0.00432,0.00315,0.00315,0.00315,0.00315,0.01182,0.01296,0.00315,0.00315,0.00288,0.01297,0.00315,0.00288,0.00288,0.00315,0.00315,0.00315,0.00288,0.00315,0.00315,0.00315,0.00315,0.00315,0.01182,0.00315,0.00315,0.00315,0.00288,0.01296,0.01149,0.00315,0.01238,0.00315,0.00315,0.00315,0.00288,0.00315,0.01296,0.0026,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00288,0.00315,0.00315,0.00315,0.01296,0.00315,0.00315,0.00315,0.00315,0.00288,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.00315,0.01296,0.00315,0.00315,0.01296,0.00315,0.00315,0.08965
#COUNT_VAX_UNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY522878-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_6,GB_KY575158-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_6,GB_KY575164-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_6,GB_KY593236-A_SWINE_IOWA_A01672415_2017-SEGMENT_6,GB_KY593240-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_6,GB_KY653729-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_6,GB_KY653731-A_SWINE_IOWA_A01672518_2017-SEGMENT_6,GB_KY744605-A_SWINE_IOWA_A01672824_2017-SEGMENT_6,GB_KY744617-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_6,GB_KY744621-A_SWINE_INDIANA_A01672825_2017-SEGMENT_6,GB_KY766085-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_6,GB_KY802109-A_SWINE_IOWA_A01672342_2017-SEGMENT_6,GB_KY802129-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_6,GB_KY859940-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_6,GB_KY859955-A_SWINE_IOWA_A01932420_2017-SEGMENT_6,GB_KY888032-A_SWINE_KANSAS_A01378019_2017-SEGMENT_6,GB_KY941164-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_6,GB_KY941171-A_SWINE_IOWA_A01667091_2017-SEGMENT_6,GB_KY941175-A_SWINE_IOWA_A01667088_2017-SEGMENT_6,GB_KY970167-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_6,GB_KY995614-A_SWINE_OHIO_A02214229_2017-SEGMENT_6,GB_KY995628-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_6,GB_MF000462-A_SWINE_IOWA_A02214479_2017-SEGMENT_6,GB_MF000466-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_6,GB_MF000474-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_6,GB_MF000484-A_SWINE_IOWA_A01667089_2017-SEGMENT_6,GB_MF092732-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_6,GB_MF092752-A_SWINE_TEXAS_A02214607_2017-SEGMENT_6,GB_MF116360-A_SWINE_KANSAS_A01378027_2017-SEGMENT_6,GB_MF144693-A_SWINE_IOWA_A02214835_2017-SEGMENT_6,GB_MF144719-A_SWINE_IOWA_A02215041_2017-SEGMENT_6,GB_MF144723-A_SWINE_IOWA_A02215038_2017-SEGMENT_6,GB_MF150349-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_6,GB_MF150353-A_SWINE_INDIANA_A02214845_2017-SEGMENT_6,GB_MF150369-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_6,GB_MF150371-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_6,GB_MF150387-A_SWINE_OHIO_A02214848_2017-SEGMENT_6,GB_MF159348-A_SWINE_IOWA_A02215202_2017-SEGMENT_6,GB_MF159355-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_6,GB_MF289433-A_SWINE_OHIO_A02215367_2017-SEGMENT_6,GB_MF348032-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_6,GB_MF348034-A_SWINE_IOWA_A02216046_2017-SEGMENT_6,GB_MF348041-A_SWINE_IOWA_A02216044_2017-SEGMENT_6,GB_MF455472-A_SWINE_INDIANA_A02216644_2017-SEGMENT_6,GB_MF455480-A_SWINE_OHIO_A02216472_2017-SEGMENT_6,GB_MF455482-A_SWINE_IOWA_A02216456_2017-SEGMENT_6,GB_MF455484-A_SWINE_IOWA_A02217282_2017-SEGMENT_6,GB_MF582499-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_6,GB_MF582503-A_SWINE_IOWA_A02217313_2017-SEGMENT_6,GB_MF582511-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_6,GB_MF582533-A_SWINE_IOWA_A02218171_2017-SEGMENT_6,GB_MF582537-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_6,GB_MF582539-A_SWINE_INDIANA_A02218180_2017-SEGMENT_6,GB_MF692780-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_6,GB_MF692782-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_6,GB_MF716913-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_6,GB_MF716925-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_6,GB_MF765792-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_6,GB_MF784410-A_SWINE_IOWA_A02218755_2017-SEGMENT_6,GB_MF784420-A_SWINE_IOWA_A02218750_2017-SEGMENT_6,GB_MF801449-A_SWINE_OHIO_A01354304_2017-SEGMENT_6,GB_MF801539-A_SWINE_OHIO_A01354305_2017-SEGMENT_6,GB_MF920401-A_SWINE_OHIO_A02219547_2017-SEGMENT_6,GB_MF962621-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_6,GB_MF996845-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_6,GB_MG198986-A_SWINE_IOWA_A02221506_2017-SEGMENT_6,GB_MG210352-A_SWINE_IOWA_A02221505_2017-SEGMENT_6,GB_MG210360-A_SWINE_IOWA_A02221508_2017-SEGMENT_6,GB_MG521119-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_6,GB_MG662642-A_SWINE_IOWA_A01104104_2017-SEGMENT_6,GB_MG835456-A_SWINE_KANSAS_A01378037_2017-SEGMENT_6,GB_MG912583-A_SWINE_KANSAS_A01378038_2017-SEGMENT_6,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII
