#COUNT_SHARED
id,GB_KY888029-A_SWINE_KANSAS_A01378019_2017-SEGMENT_3,GB_KY970164-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_3,GB_MF116357-A_SWINE_KANSAS_A01378027_2017-SEGMENT_3,GB_MF373217-A_SWINE_IOWA_A01672518_2017-SEGMENT_3,GB_MF373264-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_3,GB_MF373282-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_3,GB_MF373294-A_SWINE_IOWA_A01672342_2017-SEGMENT_3,GB_MF373300-A_SWINE_IOWA_A01672415_2017-SEGMENT_3,GB_MF373306-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_3,GB_MF425614-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_3,GB_MF521998-A_SWINE_IOWA_A01672824_2017-SEGMENT_3,GB_MF522010-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_3,GB_MF522034-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_3,GB_MF522040-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_3,GB_MF522052-A_SWINE_INDIANA_A01672825_2017-SEGMENT_3,GB_MF522064-A_SWINE_IOWA_A01932420_2017-SEGMENT_3,GB_MF522070-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_3,GB_MF664403-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_3,GB_MF716911-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_3,GB_MF716933-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_3,GB_MF801446-A_SWINE_OHIO_A01354304_2017-SEGMENT_3,GB_MF801454-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_3,GB_MF801498-A_SWINE_IOWA_A01667089_2017-SEGMENT_3,GB_MF801518-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_3,GB_MF801524-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_3,GB_MF801530-A_SWINE_OHIO_A02214229_2017-SEGMENT_3,GB_MF801536-A_SWINE_OHIO_A01354305_2017-SEGMENT_3,GB_MF801556-A_SWINE_IOWA_A01667091_2017-SEGMENT_3,GB_MF801576-A_SWINE_IOWA_A01667088_2017-SEGMENT_3,GB_MF801594-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_3,GB_MF973286-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_3,GB_MF973292-A_SWINE_IOWA_A02214835_2017-SEGMENT_3,GB_MF973316-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_3,GB_MF973346-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_3,GB_MF973352-A_SWINE_INDIANA_A02214845_2017-SEGMENT_3,GB_MF973358-A_SWINE_IOWA_A02214479_2017-SEGMENT_3,GB_MF973370-A_SWINE_TEXAS_A02214607_2017-SEGMENT_3,GB_MF973376-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_3,GB_MF973394-A_SWINE_OHIO_A02214848_2017-SEGMENT_3,GB_MG193777-A_SWINE_IOWA_A02215202_2017-SEGMENT_3,GB_MG193789-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_3,GB_MG193795-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_3,GB_MG193809-A_SWINE_IOWA_A02216046_2017-SEGMENT_3,GB_MG193847-A_SWINE_IOWA_A02216044_2017-SEGMENT_3,GB_MG193859-A_SWINE_IOWA_A02216456_2017-SEGMENT_3,GB_MG193871-A_SWINE_OHIO_A02215367_2017-SEGMENT_3,GB_MG193893-A_SWINE_IOWA_A02215041_2017-SEGMENT_3,GB_MG193905-A_SWINE_IOWA_A02215038_2017-SEGMENT_3,GB_MG521002-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_3,GB_MG521008-A_SWINE_IOWA_A02217313_2017-SEGMENT_3,GB_MG521026-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_3,GB_MG521032-A_SWINE_INDIANA_A02216644_2017-SEGMENT_3,GB_MG521044-A_SWINE_OHIO_A02216472_2017-SEGMENT_3,GB_MG521050-A_SWINE_IOWA_A02217282_2017-SEGMENT_3,GB_MG521110-A_SWINE_INDIANA_A02218180_2017-SEGMENT_3,GB_MG521116-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_3,GB_MG650644-A_SWINE_IOWA_A02218171_2017-SEGMENT_3,GB_MG662555-A_SWINE_IOWA_A02218755_2017-SEGMENT_3,GB_MG662573-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_3,GB_MG662603-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_3,GB_MG662639-A_SWINE_IOWA_A01104104_2017-SEGMENT_3,GB_MG662659-A_SWINE_IOWA_A02218750_2017-SEGMENT_3,GB_MG662679-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_3,GB_MG784564-A_SWINE_IOWA_A02221505_2017-SEGMENT_3,GB_MG784570-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_3,GB_MG784582-A_SWINE_IOWA_A02221508_2017-SEGMENT_3,GB_MG784594-A_SWINE_IOWA_A02221506_2017-SEGMENT_3,GB_MG784618-A_SWINE_OHIO_A02219547_2017-SEGMENT_3,GB_MG784630-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_3,GB_MG784648-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_3,GB_MG835453-A_SWINE_KANSAS_A01378037_2017-SEGMENT_3,GB_MG912580-A_SWINE_KANSAS_A01378038_2017-SEGMENT_3,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,33,33,33,33,33,33,33,33,33,33,33,33,33,31,33,33,33,33,33,33,33,33,33,33,16,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,31,31,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,311,
#RAW_SHARED
id,GB_KY888029-A_SWINE_KANSAS_A01378019_2017-SEGMENT_3,GB_KY970164-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_3,GB_MF116357-A_SWINE_KANSAS_A01378027_2017-SEGMENT_3,GB_MF373217-A_SWINE_IOWA_A01672518_2017-SEGMENT_3,GB_MF373264-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_3,GB_MF373282-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_3,GB_MF373294-A_SWINE_IOWA_A01672342_2017-SEGMENT_3,GB_MF373300-A_SWINE_IOWA_A01672415_2017-SEGMENT_3,GB_MF373306-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_3,GB_MF425614-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_3,GB_MF521998-A_SWINE_IOWA_A01672824_2017-SEGMENT_3,GB_MF522010-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_3,GB_MF522034-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_3,GB_MF522040-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_3,GB_MF522052-A_SWINE_INDIANA_A01672825_2017-SEGMENT_3,GB_MF522064-A_SWINE_IOWA_A01932420_2017-SEGMENT_3,GB_MF522070-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_3,GB_MF664403-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_3,GB_MF716911-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_3,GB_MF716933-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_3,GB_MF801446-A_SWINE_OHIO_A01354304_2017-SEGMENT_3,GB_MF801454-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_3,GB_MF801498-A_SWINE_IOWA_A01667089_2017-SEGMENT_3,GB_MF801518-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_3,GB_MF801524-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_3,GB_MF801530-A_SWINE_OHIO_A02214229_2017-SEGMENT_3,GB_MF801536-A_SWINE_OHIO_A01354305_2017-SEGMENT_3,GB_MF801556-A_SWINE_IOWA_A01667091_2017-SEGMENT_3,GB_MF801576-A_SWINE_IOWA_A01667088_2017-SEGMENT_3,GB_MF801594-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_3,GB_MF973286-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_3,GB_MF973292-A_SWINE_IOWA_A02214835_2017-SEGMENT_3,GB_MF973316-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_3,GB_MF973346-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_3,GB_MF973352-A_SWINE_INDIANA_A02214845_2017-SEGMENT_3,GB_MF973358-A_SWINE_IOWA_A02214479_2017-SEGMENT_3,GB_MF973370-A_SWINE_TEXAS_A02214607_2017-SEGMENT_3,GB_MF973376-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_3,GB_MF973394-A_SWINE_OHIO_A02214848_2017-SEGMENT_3,GB_MG193777-A_SWINE_IOWA_A02215202_2017-SEGMENT_3,GB_MG193789-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_3,GB_MG193795-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_3,GB_MG193809-A_SWINE_IOWA_A02216046_2017-SEGMENT_3,GB_MG193847-A_SWINE_IOWA_A02216044_2017-SEGMENT_3,GB_MG193859-A_SWINE_IOWA_A02216456_2017-SEGMENT_3,GB_MG193871-A_SWINE_OHIO_A02215367_2017-SEGMENT_3,GB_MG193893-A_SWINE_IOWA_A02215041_2017-SEGMENT_3,GB_MG193905-A_SWINE_IOWA_A02215038_2017-SEGMENT_3,GB_MG521002-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_3,GB_MG521008-A_SWINE_IOWA_A02217313_2017-SEGMENT_3,GB_MG521026-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_3,GB_MG521032-A_SWINE_INDIANA_A02216644_2017-SEGMENT_3,GB_MG521044-A_SWINE_OHIO_A02216472_2017-SEGMENT_3,GB_MG521050-A_SWINE_IOWA_A02217282_2017-SEGMENT_3,GB_MG521110-A_SWINE_INDIANA_A02218180_2017-SEGMENT_3,GB_MG521116-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_3,GB_MG650644-A_SWINE_IOWA_A02218171_2017-SEGMENT_3,GB_MG662555-A_SWINE_IOWA_A02218755_2017-SEGMENT_3,GB_MG662573-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_3,GB_MG662603-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_3,GB_MG662639-A_SWINE_IOWA_A01104104_2017-SEGMENT_3,GB_MG662659-A_SWINE_IOWA_A02218750_2017-SEGMENT_3,GB_MG662679-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_3,GB_MG784564-A_SWINE_IOWA_A02221505_2017-SEGMENT_3,GB_MG784570-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_3,GB_MG784582-A_SWINE_IOWA_A02221508_2017-SEGMENT_3,GB_MG784594-A_SWINE_IOWA_A02221506_2017-SEGMENT_3,GB_MG784618-A_SWINE_OHIO_A02219547_2017-SEGMENT_3,GB_MG784630-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_3,GB_MG784648-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_3,GB_MG835453-A_SWINE_KANSAS_A01378037_2017-SEGMENT_3,GB_MG912580-A_SWINE_KANSAS_A01378038_2017-SEGMENT_3,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,30.22509,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,15.61124,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,30.22509,30.22509,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,32.12788,297.62496,
#NORM_SHARED
id,GB_KY888029-A_SWINE_KANSAS_A01378019_2017-SEGMENT_3,GB_KY970164-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_3,GB_MF116357-A_SWINE_KANSAS_A01378027_2017-SEGMENT_3,GB_MF373217-A_SWINE_IOWA_A01672518_2017-SEGMENT_3,GB_MF373264-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_3,GB_MF373282-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_3,GB_MF373294-A_SWINE_IOWA_A01672342_2017-SEGMENT_3,GB_MF373300-A_SWINE_IOWA_A01672415_2017-SEGMENT_3,GB_MF373306-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_3,GB_MF425614-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_3,GB_MF521998-A_SWINE_IOWA_A01672824_2017-SEGMENT_3,GB_MF522010-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_3,GB_MF522034-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_3,GB_MF522040-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_3,GB_MF522052-A_SWINE_INDIANA_A01672825_2017-SEGMENT_3,GB_MF522064-A_SWINE_IOWA_A01932420_2017-SEGMENT_3,GB_MF522070-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_3,GB_MF664403-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_3,GB_MF716911-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_3,GB_MF716933-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_3,GB_MF801446-A_SWINE_OHIO_A01354304_2017-SEGMENT_3,GB_MF801454-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_3,GB_MF801498-A_SWINE_IOWA_A01667089_2017-SEGMENT_3,GB_MF801518-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_3,GB_MF801524-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_3,GB_MF801530-A_SWINE_OHIO_A02214229_2017-SEGMENT_3,GB_MF801536-A_SWINE_OHIO_A01354305_2017-SEGMENT_3,GB_MF801556-A_SWINE_IOWA_A01667091_2017-SEGMENT_3,GB_MF801576-A_SWINE_IOWA_A01667088_2017-SEGMENT_3,GB_MF801594-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_3,GB_MF973286-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_3,GB_MF973292-A_SWINE_IOWA_A02214835_2017-SEGMENT_3,GB_MF973316-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_3,GB_MF973346-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_3,GB_MF973352-A_SWINE_INDIANA_A02214845_2017-SEGMENT_3,GB_MF973358-A_SWINE_IOWA_A02214479_2017-SEGMENT_3,GB_MF973370-A_SWINE_TEXAS_A02214607_2017-SEGMENT_3,GB_MF973376-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_3,GB_MF973394-A_SWINE_OHIO_A02214848_2017-SEGMENT_3,GB_MG193777-A_SWINE_IOWA_A02215202_2017-SEGMENT_3,GB_MG193789-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_3,GB_MG193795-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_3,GB_MG193809-A_SWINE_IOWA_A02216046_2017-SEGMENT_3,GB_MG193847-A_SWINE_IOWA_A02216044_2017-SEGMENT_3,GB_MG193859-A_SWINE_IOWA_A02216456_2017-SEGMENT_3,GB_MG193871-A_SWINE_OHIO_A02215367_2017-SEGMENT_3,GB_MG193893-A_SWINE_IOWA_A02215041_2017-SEGMENT_3,GB_MG193905-A_SWINE_IOWA_A02215038_2017-SEGMENT_3,GB_MG521002-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_3,GB_MG521008-A_SWINE_IOWA_A02217313_2017-SEGMENT_3,GB_MG521026-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_3,GB_MG521032-A_SWINE_INDIANA_A02216644_2017-SEGMENT_3,GB_MG521044-A_SWINE_OHIO_A02216472_2017-SEGMENT_3,GB_MG521050-A_SWINE_IOWA_A02217282_2017-SEGMENT_3,GB_MG521110-A_SWINE_INDIANA_A02218180_2017-SEGMENT_3,GB_MG521116-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_3,GB_MG650644-A_SWINE_IOWA_A02218171_2017-SEGMENT_3,GB_MG662555-A_SWINE_IOWA_A02218755_2017-SEGMENT_3,GB_MG662573-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_3,GB_MG662603-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_3,GB_MG662639-A_SWINE_IOWA_A01104104_2017-SEGMENT_3,GB_MG662659-A_SWINE_IOWA_A02218750_2017-SEGMENT_3,GB_MG662679-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_3,GB_MG784564-A_SWINE_IOWA_A02221505_2017-SEGMENT_3,GB_MG784570-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_3,GB_MG784582-A_SWINE_IOWA_A02221508_2017-SEGMENT_3,GB_MG784594-A_SWINE_IOWA_A02221506_2017-SEGMENT_3,GB_MG784618-A_SWINE_OHIO_A02219547_2017-SEGMENT_3,GB_MG784630-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_3,GB_MG784648-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_3,GB_MG835453-A_SWINE_KANSAS_A01378037_2017-SEGMENT_3,GB_MG912580-A_SWINE_KANSAS_A01378038_2017-SEGMENT_3,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,
VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.0091,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.0047,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.0091,.0091,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.00968,.08965,
#COUNT_VAX_UNQ
id,GB_KY888029-A_SWINE_KANSAS_A01378019_2017-SEGMENT_3,GB_KY970164-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_3,GB_MF116357-A_SWINE_KANSAS_A01378027_2017-SEGMENT_3,GB_MF373217-A_SWINE_IOWA_A01672518_2017-SEGMENT_3,GB_MF373264-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_3,GB_MF373282-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_3,GB_MF373294-A_SWINE_IOWA_A01672342_2017-SEGMENT_3,GB_MF373300-A_SWINE_IOWA_A01672415_2017-SEGMENT_3,GB_MF373306-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_3,GB_MF425614-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_3,GB_MF521998-A_SWINE_IOWA_A01672824_2017-SEGMENT_3,GB_MF522010-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_3,GB_MF522034-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_3,GB_MF522040-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_3,GB_MF522052-A_SWINE_INDIANA_A01672825_2017-SEGMENT_3,GB_MF522064-A_SWINE_IOWA_A01932420_2017-SEGMENT_3,GB_MF522070-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_3,GB_MF664403-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_3,GB_MF716911-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_3,GB_MF716933-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_3,GB_MF801446-A_SWINE_OHIO_A01354304_2017-SEGMENT_3,GB_MF801454-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_3,GB_MF801498-A_SWINE_IOWA_A01667089_2017-SEGMENT_3,GB_MF801518-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_3,GB_MF801524-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_3,GB_MF801530-A_SWINE_OHIO_A02214229_2017-SEGMENT_3,GB_MF801536-A_SWINE_OHIO_A01354305_2017-SEGMENT_3,GB_MF801556-A_SWINE_IOWA_A01667091_2017-SEGMENT_3,GB_MF801576-A_SWINE_IOWA_A01667088_2017-SEGMENT_3,GB_MF801594-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_3,GB_MF973286-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_3,GB_MF973292-A_SWINE_IOWA_A02214835_2017-SEGMENT_3,GB_MF973316-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_3,GB_MF973346-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_3,GB_MF973352-A_SWINE_INDIANA_A02214845_2017-SEGMENT_3,GB_MF973358-A_SWINE_IOWA_A02214479_2017-SEGMENT_3,GB_MF973370-A_SWINE_TEXAS_A02214607_2017-SEGMENT_3,GB_MF973376-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_3,GB_MF973394-A_SWINE_OHIO_A02214848_2017-SEGMENT_3,GB_MG193777-A_SWINE_IOWA_A02215202_2017-SEGMENT_3,GB_MG193789-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_3,GB_MG193795-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_3,GB_MG193809-A_SWINE_IOWA_A02216046_2017-SEGMENT_3,GB_MG193847-A_SWINE_IOWA_A02216044_2017-SEGMENT_3,GB_MG193859-A_SWINE_IOWA_A02216456_2017-SEGMENT_3,GB_MG193871-A_SWINE_OHIO_A02215367_2017-SEGMENT_3,GB_MG193893-A_SWINE_IOWA_A02215041_2017-SEGMENT_3,GB_MG193905-A_SWINE_IOWA_A02215038_2017-SEGMENT_3,GB_MG521002-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_3,GB_MG521008-A_SWINE_IOWA_A02217313_2017-SEGMENT_3,GB_MG521026-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_3,GB_MG521032-A_SWINE_INDIANA_A02216644_2017-SEGMENT_3,GB_MG521044-A_SWINE_OHIO_A02216472_2017-SEGMENT_3,GB_MG521050-A_SWINE_IOWA_A02217282_2017-SEGMENT_3,GB_MG521110-A_SWINE_INDIANA_A02218180_2017-SEGMENT_3,GB_MG521116-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_3,GB_MG650644-A_SWINE_IOWA_A02218171_2017-SEGMENT_3,GB_MG662555-A_SWINE_IOWA_A02218755_2017-SEGMENT_3,GB_MG662573-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_3,GB_MG662603-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_3,GB_MG662639-A_SWINE_IOWA_A01104104_2017-SEGMENT_3,GB_MG662659-A_SWINE_IOWA_A02218750_2017-SEGMENT_3,GB_MG662679-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_3,GB_MG784564-A_SWINE_IOWA_A02221505_2017-SEGMENT_3,GB_MG784570-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_3,GB_MG784582-A_SWINE_IOWA_A02221508_2017-SEGMENT_3,GB_MG784594-A_SWINE_IOWA_A02221506_2017-SEGMENT_3,GB_MG784618-A_SWINE_OHIO_A02219547_2017-SEGMENT_3,GB_MG784630-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_3,GB_MG784648-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_3,GB_MG835453-A_SWINE_KANSAS_A01378037_2017-SEGMENT_3,GB_MG912580-A_SWINE_KANSAS_A01378038_2017-SEGMENT_3,VACCINE_EPITOPES_CLASSII-NTC8682-ERNA41H-1SOJII,
