#COUNT_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888028-A_SWINE_KANSAS_A01378019_2017-SEGMENT_2,GB_KY970163-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_2,GB_MF116356-A_SWINE_KANSAS_A01378027_2017-SEGMENT_2,GB_MF373216-A_SWINE_IOWA_A01672518_2017-SEGMENT_2,GB_MF373234-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_2,GB_MF373263-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_2,GB_MF373281-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_2,GB_MF373293-A_SWINE_IOWA_A01672342_2017-SEGMENT_2,GB_MF373299-A_SWINE_IOWA_A01672415_2017-SEGMENT_2,GB_MF373305-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_2,GB_MF521997-A_SWINE_IOWA_A01672824_2017-SEGMENT_2,GB_MF522009-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_2,GB_MF522033-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_2,GB_MF522039-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_2,GB_MF522051-A_SWINE_INDIANA_A01672825_2017-SEGMENT_2,GB_MF522063-A_SWINE_IOWA_A01932420_2017-SEGMENT_2,GB_MF522069-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_2,GB_MF664402-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_2,GB_MF716914-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_2,GB_MF716923-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_2,GB_MF801445-A_SWINE_OHIO_A01354304_2017-SEGMENT_2,GB_MF801453-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_2,GB_MF801497-A_SWINE_IOWA_A01667089_2017-SEGMENT_2,GB_MF801517-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_2,GB_MF801523-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_2,GB_MF801529-A_SWINE_OHIO_A02214229_2017-SEGMENT_2,GB_MF801535-A_SWINE_OHIO_A01354305_2017-SEGMENT_2,GB_MF801555-A_SWINE_IOWA_A01667091_2017-SEGMENT_2,GB_MF801575-A_SWINE_IOWA_A01667088_2017-SEGMENT_2,GB_MF801593-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_2,GB_MF973285-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_2,GB_MF973291-A_SWINE_IOWA_A02214835_2017-SEGMENT_2,GB_MF973315-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_2,GB_MF973345-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_2,GB_MF973351-A_SWINE_INDIANA_A02214845_2017-SEGMENT_2,GB_MF973357-A_SWINE_IOWA_A02214479_2017-SEGMENT_2,GB_MF973369-A_SWINE_TEXAS_A02214607_2017-SEGMENT_2,GB_MF973375-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_2,GB_MF973393-A_SWINE_OHIO_A02214848_2017-SEGMENT_2,GB_MG193776-A_SWINE_IOWA_A02215202_2017-SEGMENT_2,GB_MG193788-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_2,GB_MG193794-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_2,GB_MG193808-A_SWINE_IOWA_A02216046_2017-SEGMENT_2,GB_MG193846-A_SWINE_IOWA_A02216044_2017-SEGMENT_2,GB_MG193858-A_SWINE_IOWA_A02216456_2017-SEGMENT_2,GB_MG193870-A_SWINE_OHIO_A02215367_2017-SEGMENT_2,GB_MG193892-A_SWINE_IOWA_A02215041_2017-SEGMENT_2,GB_MG193904-A_SWINE_IOWA_A02215038_2017-SEGMENT_2,GB_MG521001-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_2,GB_MG521007-A_SWINE_IOWA_A02217313_2017-SEGMENT_2,GB_MG521025-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_2,GB_MG521031-A_SWINE_INDIANA_A02216644_2017-SEGMENT_2,GB_MG521043-A_SWINE_OHIO_A02216472_2017-SEGMENT_2,GB_MG521049-A_SWINE_IOWA_A02217282_2017-SEGMENT_2,GB_MG521109-A_SWINE_INDIANA_A02218180_2017-SEGMENT_2,GB_MG521115-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_2,GB_MG650643-A_SWINE_IOWA_A02218171_2017-SEGMENT_2,GB_MG662554-A_SWINE_IOWA_A02218755_2017-SEGMENT_2,GB_MG662572-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_2,GB_MG662602-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_2,GB_MG662638-A_SWINE_IOWA_A01104104_2017-SEGMENT_2,GB_MG662658-A_SWINE_IOWA_A02218750_2017-SEGMENT_2,GB_MG662678-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_2,GB_MG784563-A_SWINE_IOWA_A02221505_2017-SEGMENT_2,GB_MG784569-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_2,GB_MG784581-A_SWINE_IOWA_A02221508_2017-SEGMENT_2,GB_MG784593-A_SWINE_IOWA_A02221506_2017-SEGMENT_2,GB_MG784617-A_SWINE_OHIO_A02219547_2017-SEGMENT_2,GB_MG784629-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_2,GB_MG784647-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_2,GB_MG835452-A_SWINE_KANSAS_A01378037_2017-SEGMENT_2,GB_MG912579-A_SWINE_KANSAS_A01378038_2017-SEGMENT_2,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,349
#RAW_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888028-A_SWINE_KANSAS_A01378019_2017-SEGMENT_2,GB_KY970163-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_2,GB_MF116356-A_SWINE_KANSAS_A01378027_2017-SEGMENT_2,GB_MF373216-A_SWINE_IOWA_A01672518_2017-SEGMENT_2,GB_MF373234-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_2,GB_MF373263-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_2,GB_MF373281-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_2,GB_MF373293-A_SWINE_IOWA_A01672342_2017-SEGMENT_2,GB_MF373299-A_SWINE_IOWA_A01672415_2017-SEGMENT_2,GB_MF373305-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_2,GB_MF521997-A_SWINE_IOWA_A01672824_2017-SEGMENT_2,GB_MF522009-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_2,GB_MF522033-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_2,GB_MF522039-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_2,GB_MF522051-A_SWINE_INDIANA_A01672825_2017-SEGMENT_2,GB_MF522063-A_SWINE_IOWA_A01932420_2017-SEGMENT_2,GB_MF522069-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_2,GB_MF664402-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_2,GB_MF716914-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_2,GB_MF716923-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_2,GB_MF801445-A_SWINE_OHIO_A01354304_2017-SEGMENT_2,GB_MF801453-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_2,GB_MF801497-A_SWINE_IOWA_A01667089_2017-SEGMENT_2,GB_MF801517-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_2,GB_MF801523-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_2,GB_MF801529-A_SWINE_OHIO_A02214229_2017-SEGMENT_2,GB_MF801535-A_SWINE_OHIO_A01354305_2017-SEGMENT_2,GB_MF801555-A_SWINE_IOWA_A01667091_2017-SEGMENT_2,GB_MF801575-A_SWINE_IOWA_A01667088_2017-SEGMENT_2,GB_MF801593-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_2,GB_MF973285-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_2,GB_MF973291-A_SWINE_IOWA_A02214835_2017-SEGMENT_2,GB_MF973315-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_2,GB_MF973345-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_2,GB_MF973351-A_SWINE_INDIANA_A02214845_2017-SEGMENT_2,GB_MF973357-A_SWINE_IOWA_A02214479_2017-SEGMENT_2,GB_MF973369-A_SWINE_TEXAS_A02214607_2017-SEGMENT_2,GB_MF973375-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_2,GB_MF973393-A_SWINE_OHIO_A02214848_2017-SEGMENT_2,GB_MG193776-A_SWINE_IOWA_A02215202_2017-SEGMENT_2,GB_MG193788-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_2,GB_MG193794-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_2,GB_MG193808-A_SWINE_IOWA_A02216046_2017-SEGMENT_2,GB_MG193846-A_SWINE_IOWA_A02216044_2017-SEGMENT_2,GB_MG193858-A_SWINE_IOWA_A02216456_2017-SEGMENT_2,GB_MG193870-A_SWINE_OHIO_A02215367_2017-SEGMENT_2,GB_MG193892-A_SWINE_IOWA_A02215041_2017-SEGMENT_2,GB_MG193904-A_SWINE_IOWA_A02215038_2017-SEGMENT_2,GB_MG521001-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_2,GB_MG521007-A_SWINE_IOWA_A02217313_2017-SEGMENT_2,GB_MG521025-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_2,GB_MG521031-A_SWINE_INDIANA_A02216644_2017-SEGMENT_2,GB_MG521043-A_SWINE_OHIO_A02216472_2017-SEGMENT_2,GB_MG521049-A_SWINE_IOWA_A02217282_2017-SEGMENT_2,GB_MG521109-A_SWINE_INDIANA_A02218180_2017-SEGMENT_2,GB_MG521115-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_2,GB_MG650643-A_SWINE_IOWA_A02218171_2017-SEGMENT_2,GB_MG662554-A_SWINE_IOWA_A02218755_2017-SEGMENT_2,GB_MG662572-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_2,GB_MG662602-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_2,GB_MG662638-A_SWINE_IOWA_A01104104_2017-SEGMENT_2,GB_MG662658-A_SWINE_IOWA_A02218750_2017-SEGMENT_2,GB_MG662678-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_2,GB_MG784563-A_SWINE_IOWA_A02221505_2017-SEGMENT_2,GB_MG784569-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_2,GB_MG784581-A_SWINE_IOWA_A02221508_2017-SEGMENT_2,GB_MG784593-A_SWINE_IOWA_A02221506_2017-SEGMENT_2,GB_MG784617-A_SWINE_OHIO_A02219547_2017-SEGMENT_2,GB_MG784629-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_2,GB_MG784647-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_2,GB_MG835452-A_SWINE_KANSAS_A01378037_2017-SEGMENT_2,GB_MG912579-A_SWINE_KANSAS_A01378038_2017-SEGMENT_2,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,7.58275,8.56776,8.61517,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,8.56776,334.17162
#NORM_SHARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888028-A_SWINE_KANSAS_A01378019_2017-SEGMENT_2,GB_KY970163-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_2,GB_MF116356-A_SWINE_KANSAS_A01378027_2017-SEGMENT_2,GB_MF373216-A_SWINE_IOWA_A01672518_2017-SEGMENT_2,GB_MF373234-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_2,GB_MF373263-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_2,GB_MF373281-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_2,GB_MF373293-A_SWINE_IOWA_A01672342_2017-SEGMENT_2,GB_MF373299-A_SWINE_IOWA_A01672415_2017-SEGMENT_2,GB_MF373305-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_2,GB_MF521997-A_SWINE_IOWA_A01672824_2017-SEGMENT_2,GB_MF522009-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_2,GB_MF522033-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_2,GB_MF522039-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_2,GB_MF522051-A_SWINE_INDIANA_A01672825_2017-SEGMENT_2,GB_MF522063-A_SWINE_IOWA_A01932420_2017-SEGMENT_2,GB_MF522069-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_2,GB_MF664402-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_2,GB_MF716914-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_2,GB_MF716923-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_2,GB_MF801445-A_SWINE_OHIO_A01354304_2017-SEGMENT_2,GB_MF801453-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_2,GB_MF801497-A_SWINE_IOWA_A01667089_2017-SEGMENT_2,GB_MF801517-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_2,GB_MF801523-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_2,GB_MF801529-A_SWINE_OHIO_A02214229_2017-SEGMENT_2,GB_MF801535-A_SWINE_OHIO_A01354305_2017-SEGMENT_2,GB_MF801555-A_SWINE_IOWA_A01667091_2017-SEGMENT_2,GB_MF801575-A_SWINE_IOWA_A01667088_2017-SEGMENT_2,GB_MF801593-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_2,GB_MF973285-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_2,GB_MF973291-A_SWINE_IOWA_A02214835_2017-SEGMENT_2,GB_MF973315-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_2,GB_MF973345-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_2,GB_MF973351-A_SWINE_INDIANA_A02214845_2017-SEGMENT_2,GB_MF973357-A_SWINE_IOWA_A02214479_2017-SEGMENT_2,GB_MF973369-A_SWINE_TEXAS_A02214607_2017-SEGMENT_2,GB_MF973375-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_2,GB_MF973393-A_SWINE_OHIO_A02214848_2017-SEGMENT_2,GB_MG193776-A_SWINE_IOWA_A02215202_2017-SEGMENT_2,GB_MG193788-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_2,GB_MG193794-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_2,GB_MG193808-A_SWINE_IOWA_A02216046_2017-SEGMENT_2,GB_MG193846-A_SWINE_IOWA_A02216044_2017-SEGMENT_2,GB_MG193858-A_SWINE_IOWA_A02216456_2017-SEGMENT_2,GB_MG193870-A_SWINE_OHIO_A02215367_2017-SEGMENT_2,GB_MG193892-A_SWINE_IOWA_A02215041_2017-SEGMENT_2,GB_MG193904-A_SWINE_IOWA_A02215038_2017-SEGMENT_2,GB_MG521001-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_2,GB_MG521007-A_SWINE_IOWA_A02217313_2017-SEGMENT_2,GB_MG521025-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_2,GB_MG521031-A_SWINE_INDIANA_A02216644_2017-SEGMENT_2,GB_MG521043-A_SWINE_OHIO_A02216472_2017-SEGMENT_2,GB_MG521049-A_SWINE_IOWA_A02217282_2017-SEGMENT_2,GB_MG521109-A_SWINE_INDIANA_A02218180_2017-SEGMENT_2,GB_MG521115-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_2,GB_MG650643-A_SWINE_IOWA_A02218171_2017-SEGMENT_2,GB_MG662554-A_SWINE_IOWA_A02218755_2017-SEGMENT_2,GB_MG662572-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_2,GB_MG662602-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_2,GB_MG662638-A_SWINE_IOWA_A01104104_2017-SEGMENT_2,GB_MG662658-A_SWINE_IOWA_A02218750_2017-SEGMENT_2,GB_MG662678-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_2,GB_MG784563-A_SWINE_IOWA_A02221505_2017-SEGMENT_2,GB_MG784569-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_2,GB_MG784581-A_SWINE_IOWA_A02221508_2017-SEGMENT_2,GB_MG784593-A_SWINE_IOWA_A02221506_2017-SEGMENT_2,GB_MG784617-A_SWINE_OHIO_A02219547_2017-SEGMENT_2,GB_MG784629-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_2,GB_MG784647-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_2,GB_MG835452-A_SWINE_KANSAS_A01378037_2017-SEGMENT_2,GB_MG912579-A_SWINE_KANSAS_A01378038_2017-SEGMENT_2,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.00142,0.0016,0.00161,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0624
#COUNT_VAX_UNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,GB_KY888028-A_SWINE_KANSAS_A01378019_2017-SEGMENT_2,GB_KY970163-A_SWINE_MICHIGAN_A01259076_2017-SEGMENT_2,GB_MF116356-A_SWINE_KANSAS_A01378027_2017-SEGMENT_2,GB_MF373216-A_SWINE_IOWA_A01672518_2017-SEGMENT_2,GB_MF373234-A_SWINE_NEBRASKA_A01672345_2017-SEGMENT_2,GB_MF373263-A_SWINE_MINNESOTA_A01672344_2017-SEGMENT_2,GB_MF373281-A_SWINE_NORTH_CAROLINA_A01672011_2017-SEGMENT_2,GB_MF373293-A_SWINE_IOWA_A01672342_2017-SEGMENT_2,GB_MF373299-A_SWINE_IOWA_A01672415_2017-SEGMENT_2,GB_MF373305-A_SWINE_ILLINOIS_A01672343_2017-SEGMENT_2,GB_MF521997-A_SWINE_IOWA_A01672824_2017-SEGMENT_2,GB_MF522009-A_SWINE_ILLINOIS_A01932036_2017-SEGMENT_2,GB_MF522033-A_SWINE_MISSOURI_A01672819_2017-SEGMENT_2,GB_MF522039-A_SWINE_MISSOURI_A01932424_2017-SEGMENT_2,GB_MF522051-A_SWINE_INDIANA_A01672825_2017-SEGMENT_2,GB_MF522063-A_SWINE_IOWA_A01932420_2017-SEGMENT_2,GB_MF522069-A_SWINE_NORTH_CAROLINA_A01672751_2017-SEGMENT_2,GB_MF664402-A_SWINE_OKLAHOMA_A01672680_2017-SEGMENT_2,GB_MF716914-A_SWINE_OHIO_17TOSU1386_2017-SEGMENT_2,GB_MF716923-A_SWINE_OHIO_17TOSU1384_2017-SEGMENT_2,GB_MF801445-A_SWINE_OHIO_A01354304_2017-SEGMENT_2,GB_MF801453-A_SWINE_ILLINOIS_A02214663_2017-SEGMENT_2,GB_MF801497-A_SWINE_IOWA_A01667089_2017-SEGMENT_2,GB_MF801517-A_SWINE_MINNESOTA_A02214666_2017-SEGMENT_2,GB_MF801523-A_SWINE_MINNESOTA_A01667100_2017-SEGMENT_2,GB_MF801529-A_SWINE_OHIO_A02214229_2017-SEGMENT_2,GB_MF801535-A_SWINE_OHIO_A01354305_2017-SEGMENT_2,GB_MF801555-A_SWINE_IOWA_A01667091_2017-SEGMENT_2,GB_MF801575-A_SWINE_IOWA_A01667088_2017-SEGMENT_2,GB_MF801593-A_SWINE_MICHIGAN_A02214235_2017-SEGMENT_2,GB_MF973285-A_SWINE_OKLAHOMA_A02214419_2017-SEGMENT_2,GB_MF973291-A_SWINE_IOWA_A02214835_2017-SEGMENT_2,GB_MF973315-A_SWINE_MISSOURI_A02214279_2017-SEGMENT_2,GB_MF973345-A_SWINE_MINNESOTA_A02214846_2017-SEGMENT_2,GB_MF973351-A_SWINE_INDIANA_A02214845_2017-SEGMENT_2,GB_MF973357-A_SWINE_IOWA_A02214479_2017-SEGMENT_2,GB_MF973369-A_SWINE_TEXAS_A02214607_2017-SEGMENT_2,GB_MF973375-A_SWINE_NORTH_CAROLINA_A02214775_2017-SEGMENT_2,GB_MF973393-A_SWINE_OHIO_A02214848_2017-SEGMENT_2,GB_MG193776-A_SWINE_IOWA_A02215202_2017-SEGMENT_2,GB_MG193788-A_SWINE_MISSOURI_A02216048_2017-SEGMENT_2,GB_MG193794-A_SWINE_ILLINOIS_A02215204_2017-SEGMENT_2,GB_MG193808-A_SWINE_IOWA_A02216046_2017-SEGMENT_2,GB_MG193846-A_SWINE_IOWA_A02216044_2017-SEGMENT_2,GB_MG193858-A_SWINE_IOWA_A02216456_2017-SEGMENT_2,GB_MG193870-A_SWINE_OHIO_A02215367_2017-SEGMENT_2,GB_MG193892-A_SWINE_IOWA_A02215041_2017-SEGMENT_2,GB_MG193904-A_SWINE_IOWA_A02215038_2017-SEGMENT_2,GB_MG521001-A_SWINE_ILLINOIS_A02218178_2017-SEGMENT_2,GB_MG521007-A_SWINE_IOWA_A02217313_2017-SEGMENT_2,GB_MG521025-A_SWINE_NEBRASKA_A02216645_2017-SEGMENT_2,GB_MG521031-A_SWINE_INDIANA_A02216644_2017-SEGMENT_2,GB_MG521043-A_SWINE_OHIO_A02216472_2017-SEGMENT_2,GB_MG521049-A_SWINE_IOWA_A02217282_2017-SEGMENT_2,GB_MG521109-A_SWINE_INDIANA_A02218180_2017-SEGMENT_2,GB_MG521115-A_SWINE_WISCONSIN_A01104100_2017-SEGMENT_2,GB_MG650643-A_SWINE_IOWA_A02218171_2017-SEGMENT_2,GB_MG662554-A_SWINE_IOWA_A02218755_2017-SEGMENT_2,GB_MG662572-A_SWINE_NORTH_CAROLINA_A01785281_2017-SEGMENT_2,GB_MG662602-A_SWINE_MISSOURI_A02218334_2017-SEGMENT_2,GB_MG662638-A_SWINE_IOWA_A01104104_2017-SEGMENT_2,GB_MG662658-A_SWINE_IOWA_A02218750_2017-SEGMENT_2,GB_MG662678-A_SWINE_ARKANSAS_A02218161_2017-SEGMENT_2,GB_MG784563-A_SWINE_IOWA_A02221505_2017-SEGMENT_2,GB_MG784569-A_SWINE_NEBRASKA_A02219793_2017-SEGMENT_2,GB_MG784581-A_SWINE_IOWA_A02221508_2017-SEGMENT_2,GB_MG784593-A_SWINE_IOWA_A02221506_2017-SEGMENT_2,GB_MG784617-A_SWINE_OHIO_A02219547_2017-SEGMENT_2,GB_MG784629-A_SWINE_NORTH_CAROLINA_A01785282_2017-SEGMENT_2,GB_MG784647-A_SWINE_ILLINOIS_A02219783_2017-SEGMENT_2,GB_MG835452-A_SWINE_KANSAS_A01378037_2017-SEGMENT_2,GB_MG912579-A_SWINE_KANSAS_A01378038_2017-SEGMENT_2,VACCINE_EPITOPES_CLASSI-NTC8684-ERNA41H-7SOJI
